"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Connecticut","Middlesex",2003,179,130,33,9,6,1,0,206,100,43,0,0,179,0,0
"Connecticut","New Haven",2003,365,116,214,26,6,3,0,220,100,59,0,22,83,225,35
"Connecticut","New London",2003,237,162,56,14,3,2,0,208,80,43,0,0,165,72,0
"Connecticut","Tolland",2003,183,133,41,9,0,0,0,150,84,43,0,0,183,0,0
"Connecticut","Windham",2003,363,317,32,12,2,0,0,185,61,35,0,0,363,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2003,365,53,165,97,31,15,4,417,166,90,60,57,171,0,77
"Country Of Mexico","CHIHUAHUA STATE",2003,355,179,139,28,4,1,4,2405,102,50,92,0,212,0,51
"Country Of Mexico","SONORA",2003,61,26,33,2,0,0,0,114,85,52,0,0,0,0,61
"Delaware","Kent",2003,274,170,86,15,3,0,0,197,93,44,0,0,191,83,0
"Delaware","New Castle",2003,365,149,186,26,2,2,0,217,97,55,0,34,118,212,1
"Delaware","Sussex",2003,270,164,82,19,3,2,0,218,93,45,0,0,197,73,0
"District Of Columbia","District of Columbia",2003,365,128,213,20,2,2,0,207,92,57,1,80,66,217,1
"Florida","Alachua",2003,365,306,52,7,0,0,0,147,60,37,0,0,298,60,7
"Florida","Baker",2003,359,322,30,7,0,0,0,133,51,33,0,0,359,0,0
"Florida","Bay",2003,359,266,70,20,3,0,0,185,84,38,0,0,289,61,9
"Florida","Brevard",2003,365,322,36,7,0,0,0,147,53,36,0,0,321,25,19
"Florida","Broward",2003,365,295,67,3,0,0,0,112,56,38,10,39,133,182,1
"Florida","Citrus",2003,116,97,19,0,0,0,0,71,54,33,0,0,0,116,0
"Florida","Collier",2003,335,312,18,5,0,0,0,122,47,32,0,0,335,0,0
"Florida","Columbia",2003,364,325,33,6,0,0,0,140,51,34,0,0,364,0,0
"Florida","Duval",2003,365,251,101,13,0,0,0,136,71,43,2,33,183,145,2
"Florida","Escambia",2003,365,210,134,19,2,0,0,185,90,47,0,0,191,174,0
"Florida","Hamilton",2003,362,362,0,0,0,0,0,45,23,15,0,0,0,0,362
"Florida","Highlands",2003,359,326,24,9,0,0,0,129,50,36,0,0,359,0,0
"Florida","Hillsborough",2003,365,199,146,18,2,0,0,169,75,49,0,2,116,242,5
"Florida","Holmes",2003,353,294,54,5,0,0,0,150,61,34,0,0,353,0,0
"Florida","Indian River",2003,347,312,30,5,0,0,0,150,51,38,0,0,347,0,0
"Florida","Lake",2003,365,303,50,11,1,0,0,151,61,39,0,0,314,44,7
"Florida","Lee",2003,365,318,39,7,1,0,0,156,54,37,0,0,316,37,12
"Florida","Leon",2003,365,225,135,5,0,0,0,147,72,43,0,0,167,192,6
"Florida","Liberty",2003,363,327,32,4,0,0,0,140,50,32,0,0,363,0,0
"Florida","Manatee",2003,365,298,51,15,1,0,0,159,64,37,0,3,326,36,0
"Florida","Marion",2003,365,308,51,5,1,0,0,156,56,36,0,0,311,54,0
"Florida","Miami-Dade",2003,365,200,161,3,1,0,0,164,66,48,0,2,91,272,0
"Florida","Nassau",2003,353,314,36,3,0,0,0,140,53,20,0,0,0,0,353
"Florida","Orange",2003,365,230,127,8,0,0,0,147,66,45,0,12,121,231,1
"Florida","Osceola",2003,352,329,20,3,0,0,0,126,45,32,0,0,352,0,0
"Florida","Palm Beach",2003,365,306,55,4,0,0,0,119,55,38,0,5,227,127,6
"Florida","Pasco",2003,365,299,46,19,1,0,0,159,67,39,0,0,365,0,0
"Florida","Pinellas",2003,365,219,132,13,1,0,0,159,70,46,0,3,103,259,0
"Florida","Polk",2003,365,316,40,9,0,0,0,147,58,37,0,0,295,53,17
"Florida","Putnam",2003,365,365,0,0,0,0,0,50,33,19,0,0,0,0,365
"Florida","Santa Rosa",2003,364,271,74,17,2,0,0,197,84,38,0,0,325,39,0
"Florida","Sarasota",2003,362,288,60,11,3,0,0,179,67,39,10,1,310,39,2
"Florida","Seminole",2003,364,309,49,6,0,0,0,133,54,37,0,0,310,44,10
"Florida","St. Lucie",2003,365,333,30,2,0,0,0,101,48,35,0,22,282,53,8
"Florida","Volusia",2003,365,326,33,6,0,0,0,122,52,34,0,0,306,49,10
"Florida","Wakulla",2003,358,290,56,12,0,0,0,150,63,36,0,0,314,44,0
"Georgia","Bibb",2003,326,160,147,18,1,0,0,159,84,51,0,0,117,209,0
"Georgia","Charlton",2003,121,103,18,0,0,0,0,71,53,32,0,0,0,121,0
"Georgia","Chatham",2003,364,252,108,4,0,0,0,136,68,39,0,0,146,161,57
"Georgia","Chattooga",2003,52,52,0,0,0,0,0,49,29,19,0,0,0,0,52
"Georgia","Clarke",2003,249,137,105,7,0,0,0,150,79,47,0,0,152,97,0
"Georgia","Clayton",2003,113,38,71,4,0,0,0,108,77,55,0,0,0,113,0
"Georgia","Cobb",2003,285,152,115,15,2,1,0,203,93,49,0,0,180,105,0
"Georgia","Coffee",2003,49,32,17,0,0,0,0,84,67,40,0,0,0,49,0
"Georgia","Coweta",2003,287,187,90,10,0,0,0,147,80,44,0,0,199,88,0
"Georgia","Dawson",2003,214,136,68,10,0,0,0,150,87,44,0,0,214,0,0
"Georgia","DeKalb",2003,365,113,224,23,5,0,0,195,93,58,0,19,64,281,1
"Georgia","Dougherty",2003,121,58,63,0,0,0,0,97,70,52,0,0,0,118,3
"Georgia","Douglas",2003,263,192,54,14,3,0,0,172,90,41,0,0,240,0,23
"Georgia","Fayette",2003,245,179,52,14,0,0,0,136,87,39,0,0,245,0,0
"Georgia","Floyd",2003,118,42,72,4,0,0,0,123,83,60,0,0,0,116,2
"Georgia","Fulton",2003,365,113,222,25,4,1,0,202,97,58,1,33,87,243,1
"Georgia","Glynn",2003,275,206,67,2,0,0,0,112,67,38,0,0,196,75,4
"Georgia","Gwinnett",2003,309,167,120,17,4,1,0,203,90,46,0,0,186,123,0
"Georgia","Hall",2003,109,41,67,1,0,0,0,120,75,55,0,0,0,109,0
"Georgia","Henry",2003,305,189,98,18,0,0,0,140,90,44,0,0,210,95,0
"Georgia","Houston",2003,59,32,27,0,0,0,0,83,75,49,0,0,0,59,0
"Georgia","Lowndes",2003,52,33,19,0,0,0,0,73,63,46,0,0,0,52,0
"Georgia","Murray",2003,261,155,81,23,2,0,0,185,100,46,0,0,196,65,0
"Georgia","Muscogee",2003,315,169,142,3,1,0,0,175,74,47,0,0,127,188,0
"Georgia","Paulding",2003,365,199,148,18,0,0,0,150,85,47,6,42,121,196,0
"Georgia","Pike",2003,361,288,62,10,1,0,0,156,77,36,0,0,361,0,0
"Georgia","Richmond",2003,325,187,126,12,0,0,0,140,78,46,0,0,170,154,1
"Georgia","Rockdale",2003,363,283,54,25,1,0,0,156,90,33,0,125,238,0,0
"Georgia","Spalding",2003,57,57,0,0,0,0,0,45,30,17,0,0,0,0,57
"Georgia","Sumter",2003,210,159,45,5,1,0,0,151,77,39,0,0,210,0,0
"Georgia","Walker",2003,63,25,36,2,0,0,0,129,77,56,0,0,0,58,5
"Georgia","Washington",2003,61,28,33,0,0,0,0,95,69,52,0,0,0,57,4
"Georgia","Wilkinson",2003,118,53,63,2,0,0,0,122,70,52,0,0,0,118,0
"Hawaii","Hawaii",2003,350,339,11,0,0,0,0,83,36,25,0,0,317,33,0
"Hawaii","Honolulu",2003,365,358,5,1,1,0,0,170,34,23,14,17,176,136,22
"Hawaii","Kauai",2003,61,61,0,0,0,0,0,29,22,14,0,0,0,0,61
"Hawaii","Maui",2003,348,335,13,0,0,0,0,78,37,20,0,0,0,66,282
"Idaho","Ada",2003,362,280,76,6,0,0,0,143,67,39,62,0,190,23,87
"Idaho","Bannock",2003,267,261,6,0,0,0,0,80,40,19,0,0,0,45,222
"Idaho","Benewah",2003,120,97,20,2,1,0,0,158,58,32,0,0,0,42,78
"Idaho","Bingham",2003,50,38,12,0,0,0,0,90,63,29,0,0,0,0,50
"Idaho","Boise",2003,58,52,6,0,0,0,0,82,51,25,0,0,0,58,0
"Idaho","Bonner",2003,339,332,7,0,0,0,0,86,34,14,0,0,0,48,291
"Idaho","Bonneville",2003,116,109,7,0,0,0,0,66,46,22,0,0,0,116,0
"Idaho","Boundary",2003,365,351,14,0,0,0,0,97,36,18,23,110,0,77,155
"Idaho","Butte",2003,346,259,85,2,0,0,0,129,67,43,0,0,340,6,0
"Idaho","Canyon",2003,365,275,87,3,0,0,0,111,64,42,92,0,179,44,50
"Idaho","Caribou",2003,51,50,1,0,0,0,0,65,30,18,0,0,0,51,0
"Idaho","Custer",2003,110,109,1,0,0,0,0,51,23,8,0,0,0,110,0
"Idaho","Elmore",2003,365,314,50,1,0,0,0,120,54,38,0,155,210,0,0
"Idaho","Idaho",2003,63,47,16,0,0,0,0,98,58,29,0,0,0,63,0
"Idaho","Kootenai",2003,364,298,64,2,0,0,0,111,58,28,0,0,0,319,45
"Idaho","Latah",2003,25,25,0,0,0,0,0,34,23,17,0,0,0,25,0
"Idaho","Lemhi",2003,61,59,2,0,0,0,0,88,38,23,0,0,0,22,39
"Idaho","Nez Perce",2003,59,50,9,0,0,0,0,65,56,24,0,0,0,59,0
"Idaho","Power",2003,356,270,86,0,0,0,0,88,58,35,0,0,0,325,31
"Idaho","Shoshone",2003,355,316,36,3,0,0,0,108,52,19,0,0,0,116,239
"Idaho","Twin Falls",2003,42,38,4,0,0,0,0,61,46,23,0,0,0,42,0
"Idaho","Valley",2003,41,39,2,0,0,0,0,74,39,26,0,0,0,41,0
"Illinois","Adams",2003,361,293,64,4,0,0,0,122,62,35,0,0,324,37,0
"Illinois","Champaign",2003,365,255,88,21,1,0,0,154,84,42,0,0,305,60,0
"Illinois","Clark",2003,195,155,38,2,0,0,0,129,64,40,0,0,195,0,0
"Illinois","Cook",2003,365,89,233,38,5,0,0,185,101,62,0,137,59,165,4
"Illinois","DuPage",2003,360,290,67,3,0,0,0,143,65,30,0,0,269,91,0
"Illinois","Effingham",2003,214,165,47,2,0,0,0,143,67,42,0,0,214,0,0
"Illinois","Hamilton",2003,209,119,75,15,0,0,0,133,93,48,0,0,209,0,0
"Illinois","Jackson",2003,60,60,0,0,0,0,0,44,33,17,0,0,0,0,60
"Illinois","Jersey",2003,214,136,57,19,2,0,0,174,100,47,0,0,214,0,0
"Illinois","Jo Daviess",2003,354,272,67,15,0,0,0,129,80,36,0,0,354,0,0
"Illinois","Kane",2003,364,302,55,7,0,0,0,126,64,31,0,0,323,41,0
"Illinois","La Salle",2003,365,305,59,1,0,0,0,103,56,24,0,0,0,111,254
"Illinois","Lake",2003,365,308,46,11,0,0,0,147,65,33,0,0,328,37,0
"Illinois","Macon",2003,365,271,88,6,0,0,0,129,74,38,0,0,282,83,0
"Illinois","Macoupin",2003,361,287,60,13,1,0,0,161,71,36,0,0,359,0,2
"Illinois","Madison",2003,365,165,165,29,6,0,0,197,100,53,0,0,202,96,67
"Illinois","McHenry",2003,363,297,60,6,0,0,0,147,64,33,0,0,280,83,0
"Illinois","McLean",2003,362,287,66,9,0,0,0,126,74,36,0,0,330,32,0
"Illinois","Peoria",2003,365,266,89,10,0,0,0,129,77,39,29,0,266,70,0
"Illinois","Randolph",2003,363,281,72,10,0,0,0,136,71,39,0,0,330,33,0
"Illinois","Rock Island",2003,365,303,59,3,0,0,0,147,64,33,0,0,322,43,0
"Illinois","Saint Clair",2003,365,248,104,10,1,2,0,206,77,40,1,124,139,96,5
"Illinois","Sangamon",2003,365,279,78,8,0,0,0,133,71,36,6,0,284,75,0
"Illinois","Will",2003,364,283,67,13,1,0,0,169,71,37,0,3,316,42,3
"Illinois","Winnebago",2003,365,296,62,7,0,0,0,136,64,34,14,0,318,33,0
"Indiana","Allen",2003,365,199,148,13,5,0,0,197,87,48,16,0,106,243,0
"Indiana","Boone",2003,183,92,64,22,5,0,0,190,112,50,0,0,183,0,0
"Indiana","Carroll",2003,183,115,57,10,1,0,0,156,90,46,0,0,183,0,0
"Indiana","Clark",2003,296,172,105,15,4,0,0,177,90,46,0,0,168,84,44
"Indiana","Daviess",2003,26,26,0,0,0,0,0,44,25,16,0,0,0,0,26
"Indiana","Delaware",2003,233,130,90,10,3,0,0,182,87,48,0,0,157,76,0
"Indiana","Dubois",2003,118,50,62,6,0,0,0,144,80,55,0,0,0,116,2
"Indiana","Elkhart",2003,241,128,97,11,5,0,0,169,91,49,0,0,162,79,0
"Indiana","Floyd",2003,263,145,99,15,4,0,0,179,90,48,0,0,169,94,0
"Indiana","Gibson",2003,355,299,48,7,1,0,0,161,67,30,0,176,179,0,0
"Indiana","Greene",2003,183,93,63,23,4,0,0,179,108,49,0,0,183,0,0
"Indiana","Hamilton",2003,183,99,64,15,4,1,0,203,105,50,0,0,183,0,0
"Indiana","Hancock",2003,183,98,69,11,4,1,0,201,97,48,0,0,183,0,0
"Indiana","Hendricks",2003,243,168,58,15,2,0,0,156,93,41,60,0,183,0,0
"Indiana","Henry",2003,117,64,51,2,0,0,0,104,80,48,0,0,0,117,0
"Indiana","Howard",2003,116,60,54,2,0,0,0,138,80,50,0,0,0,116,0
"Indiana","Huntington",2003,183,99,69,12,3,0,0,200,100,49,0,0,183,0,0
"Indiana","Jackson",2003,183,99,66,18,0,0,0,147,100,48,0,0,183,0,0
"Indiana","Johnson",2003,183,95,64,22,2,0,0,164,105,50,0,0,183,0,0
"Indiana","Knox",2003,363,253,95,14,1,0,0,164,84,41,0,0,291,72,0
"Indiana","Kosciusko",2003,172,91,62,15,4,0,0,179,101,50,0,0,172,0,0
"Indiana","LaPorte",2003,240,130,89,18,3,0,0,164,97,49,0,0,154,86,0
"Indiana","Lake",2003,365,118,208,34,5,0,0,190,101,59,2,31,74,244,14
"Indiana","Madison",2003,241,120,100,13,8,0,0,190,90,51,0,0,166,69,6
"Indiana","Marion",2003,365,99,237,24,5,0,0,197,95,58,0,7,74,284,0
"Indiana","Morgan",2003,183,94,65,22,2,0,0,156,108,50,0,0,183,0,0
"Indiana","Perry",2003,60,58,2,0,0,0,0,52,43,23,0,0,0,0,60
"Indiana","Porter",2003,363,251,91,18,3,0,0,161,80,39,0,0,155,80,128
"Indiana","Posey",2003,183,109,63,10,1,0,0,166,93,47,0,0,183,0,0
