Unnamed: 0,County_Name,State_Name,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,2015_Median_AQI,2015_Binning
216,Jefferson County, Kentucky,"375,008","2,106","18,551","43,154","11,616","40,907","27,424","6,656","29,539","35,670","91,354","37,918","18,775","11,338",49,2
303,Washoe County, Nevada,"219,522","1,966","13,752","14,804","7,612","27,469","13,597","3,200","12,869","26,746","40,848","37,273","10,993","8,393",49,2
79,Larimer County, Colorado,"174,576","4,205","12,999","18,257","3,685","19,056","3,835","3,821","9,051","20,089","46,304","18,273","8,015","6,986",49,2
13,Tuscaloosa County, Alabama,"86,538",899,"4,906","14,531","1,669","9,275","3,988","1,807","3,622","5,862","25,683","7,008","4,108","3,180",49,2
297,Missoula County, Montana,"60,583","1,342","3,508","1,731","1,470","9,080","2,419","1,784","3,477","6,207","15,774","7,603","3,553","2,635",49,2
194,Black Hawk County, Iowa,"69,138","1,121","2,900","13,047","1,832","9,122","2,618",977,"3,570","5,131","18,609","6,449","2,771",991,49,2
5,Jefferson County, Alabama,"305,944","2,281","15,031","29,959","9,370","29,946","16,820","6,767","25,055","32,880","80,718","26,547","18,550","12,020",48,2
456,Delaware County, Pennsylvania,"280,126","1,448","14,260","19,063","7,405","28,316","14,752","5,961","22,637","33,684","85,623","22,825","12,612","11,540",48,2
473,York County, Pennsylvania,"222,498","1,343","17,145","35,802","7,363","25,726","14,239","2,446","11,571","18,864","47,600","17,541","11,527","11,331",48,2
92,New Castle County, Delaware,"278,333","1,609","14,238","20,612","3,625","31,585","12,388","4,720","35,631","31,891","73,151","26,879","11,504","10,500",48,2
139,Hall County, Georgia,"86,852","1,731","6,573","18,044","4,188","10,186","4,948","1,048","4,436","7,087","15,207","6,130","4,352","2,922",48,2
313,Camden County, New Jersey,"248,104",279,"12,647","17,502","7,504","26,774","13,947","4,222","18,676","31,260","69,729","22,581","12,035","10,948",47,2
184,Lake County, Indiana,"215,612",859,"14,660","34,692","4,575","27,724","14,025","2,305","10,503","18,909","49,449","21,469","9,575","6,867",47,2
447,Berks County, Pennsylvania,"200,854","2,523","10,876","39,280","7,314","24,110","10,363","2,602","11,881","18,320","44,631","14,731","8,981","5,242",47,2
450,Cambria County, Pennsylvania,"58,413","1,183","2,974","5,047","1,797","6,506","3,577",797,"2,875","3,814","17,589","5,793","3,128","3,333",47,2
551,Weber County, Utah,"113,751","1,273","8,182","20,466","3,197","11,553","4,825","1,483","6,279","11,639","20,602","7,712","4,547","11,993",46,2
549,Utah County, Utah,"260,151","1,909","19,835","25,259","8,000","33,300","7,775","8,559","13,823","33,491","65,687","21,535","12,406","8,572",46,2
449,Bucks County, Pennsylvania,"326,430","1,889","22,214","38,472","11,688","40,730","13,709","6,469","24,827","43,533","78,178","23,523","12,756","8,442",46,2
292,Jefferson County, Missouri,"111,048",820,"11,796","13,201","2,744","12,717","5,011","1,680","7,531","10,589","24,319","9,449","7,151","4,040",46,2
414,Medina County, Ohio,"93,013",645,"5,028","15,522","2,617","10,573","4,853","1,122","7,113","8,160","21,784","7,755","4,503","3,338",46,2
192,Vanderburgh County, Indiana,"87,789",768,"5,084","14,095","3,046","10,895","4,056","2,297","4,893","8,416","18,131","9,640","4,020","2,448",46,2
446,Beaver County, Pennsylvania,"81,321","1,096","4,284","10,565","2,472","9,655","7,216","1,039","4,622","7,578","19,049","7,268","4,217","2,260",46,2
445,Armstrong County, Pennsylvania,"27,885",861,"2,958","4,157",647,"2,894","1,324",168,"1,192","1,796","7,807","1,679","1,326","1,076",46,2
339,Erie County, New York,"451,150","1,166","23,739","44,870","12,949","50,732","20,150","7,335","36,482","45,740","121,692","46,895","18,641","20,759",45,2
87,New Haven County, Connecticut,"427,933",759,"24,749","45,742","11,792","50,251","17,585","9,469","27,994","43,271","127,298","31,964","20,382","16,677",45,2
499,Davidson County, Tennessee,"363,716",337,"20,138","27,285","8,626","39,943","17,904","9,442","28,501","46,996","86,084","45,233","18,831","14,396",45,2
454,Cumberland County, Pennsylvania,"125,845","1,406","6,046","11,886","3,149","15,943","9,036","2,219","11,498","13,395","25,856","8,373","5,101","11,937",45,2
171,Will County, Illinois,"342,392","1,859","22,514","38,345","11,467","45,034","25,321","6,992","23,851","39,149","74,314","29,611","12,403","11,532",45,2
52,Placer County, California,"166,681","1,632","11,626","9,779","4,291","20,366","7,862","3,953","12,443","20,224","38,372","15,840","8,913","11,380",45,2
9,Montgomery County, Alabama,"99,715",466,"4,309","11,244","1,990","12,231","2,926","1,555","6,263","10,913","21,202","11,011","4,695","10,910",45,2
72,Adams County, Colorado,"246,554","5,126","30,032","19,964","10,812","27,919","17,027","7,174","13,290","25,691","43,925","23,307","12,880","9,407",45,2
278,Hinds County, Mississippi,"102,646",607,"5,396","7,690","1,979","10,658","6,406","2,503","3,673","10,625","29,041","10,835","4,835","8,398",45,2
208,Wyandotte County, Kansas,"75,726",270,"8,134","9,041","2,885","8,681","5,945",889,"3,513","8,422","13,252","6,704","4,370","3,620",45,2
190,St. Joseph County, Indiana,"123,580",582,"5,278","23,380","3,462","13,942","3,615","3,273","5,761","10,661","35,210","10,000","4,947","3,469",45,2
80,Mesa County, Colorado,"69,184","4,525","5,062","2,947","1,798","9,727","3,407","1,228","3,821","6,834","16,677","6,471","3,751","2,936",45,2
371,Davidson County, North Carolina,"73,582",527,"7,006","16,567","1,368","8,664","3,988","1,454","2,460","5,291","14,927","4,965","3,529","2,836",45,2
465,Mercer County, Pennsylvania,"49,103","1,172","2,112","7,867",645,"6,344","2,057",690,"2,253","3,722","14,115","3,915","2,137","2,074",45,2
388,Rowan County, North Carolina,"60,385",427,"6,118","10,279","1,693","7,845","3,090",336,"1,937","4,397","13,744","5,990","3,144","1,385",45,2
77,El Paso County, Colorado,"308,529","2,383","20,746","17,663","5,062","39,266","13,872","7,691","21,370","41,440","67,977","34,515","17,498","19,046",44,2
65,Solano County, California,"193,706","3,868","15,723","16,817","5,673","23,444","11,995","3,181","9,051","22,107","43,270","15,583","8,887","14,107",44,2
29,Pulaski County, Arkansas,"180,595","1,100","8,492","14,756","4,316","23,542","8,765","5,282","12,270","15,802","47,454","15,579","9,394","13,843",44,2
231,Charles County, Maryland,"79,406",536,"7,952","2,406","1,044","8,186","3,339","1,806","3,246","11,743","16,052","6,136","3,808","13,152",44,2
325,Union County, New Jersey,"274,936",117,"15,615","25,521","8,793","30,010","21,875","6,241","24,314","37,264","58,585","21,819","13,435","11,347",44,2
475,Providence County, Rhode Island,"303,019",801,"13,506","36,774","9,499","37,415","12,472","5,459","19,314","27,663","83,648","31,942","13,837","10,689",44,2
232,Frederick County, Maryland,"131,344","1,508","11,532","7,512","3,722","12,836","4,752","2,938","10,077","19,443","30,420","9,474","6,596","10,534",44,2
71,Yolo County, California,"97,488","3,625","4,783","4,548","1,953","9,946","4,477","1,497","3,903","11,405","27,145","11,017","4,614","8,575",44,2
236,Washington County, Maryland,"67,216",98,"5,632","6,373","1,577","8,272","5,053","1,315","3,605","7,021","13,125","5,598","2,642","6,905",44,2
76,Douglas County, Colorado,"172,340","2,789","10,516","10,621","4,733","19,897","6,664","8,773","19,327","28,441","32,047","14,839","6,998","6,695",44,2
484,Greenville County, South Carolina,"229,422",977,"12,764","39,082","6,785","23,634","7,740","6,841","13,492","28,372","49,407","21,731","12,517","6,080",44,2
167,Madison County, Illinois,"123,979","1,191","6,906","15,372","2,851","14,760","8,818","2,179","7,253","9,611","28,674","13,943","6,800","5,621",44,2
64,Shasta County, California,"72,329","2,009","5,662","3,725","1,192","9,931","2,177","1,955","4,044","5,650","18,804","7,029","4,805","5,346",44,2
36,El Dorado County, California,"79,944",875,"6,215","6,643","1,182","10,098","4,133","1,714","5,416","10,472","15,483","8,559","3,819","5,335",44,2
583,Berkeley County, West Virginia,"52,281",680,"3,347","4,109","1,850","6,253","4,181",770,"2,528","5,178","12,420","4,468","1,213","5,284",44,2
472,Westmoreland County, Pennsylvania,"171,930","1,704","10,592","26,404","6,209","22,509","9,809","1,448","9,624","14,547","40,560","12,661","10,706","5,157",44,2
17,Coconino County, Arizona,"65,735",735,"2,474","4,777",293,"7,354","3,564",612,"3,103","4,114","19,324","12,210","2,245","4,930",44,2
74,Boulder County, Colorado,"172,041","1,754","7,511","16,622","3,846","17,726","3,856","5,997","7,400","34,622","42,322","18,351","8,583","3,451",44,2
443,Adams County, Pennsylvania,"51,023","1,070","3,315","9,690","1,027","6,518","2,321",529,"1,408","3,439","11,793","4,494","2,594","2,825",44,2
49,Napa County, California,"70,701","5,124","4,780","8,968","2,489","6,035","1,907",570,"3,281","5,108","15,524","10,671","3,441","2,803",44,2
230,Cecil County, Maryland,"50,609",648,"4,294","4,938",918,"6,733","3,149",960,"3,719","4,760","11,748","4,237","1,743","2,762",44,2
399,Clermont County, Ohio,"100,135",138,"7,182","16,640","2,794","13,513","4,688","1,872","8,658","12,135","18,397","6,587","4,925","2,606",44,2
389,Union County, North Carolina,"109,270","1,015","8,232","12,679","3,653","12,150","5,370","2,514","11,181","13,895","23,297","8,535","4,270","2,479",44,2
448,Blair County, Pennsylvania,"56,198",713,"3,443","6,422","1,618","9,444","4,346","1,170","2,185","2,575","15,047","4,943","2,096","2,196",44,2
398,Clark County, Ohio,"60,796",479,"2,626","11,522","1,868","6,940","2,766",553,"3,490","5,452","15,451","4,856","2,727","2,066",44,2
174,Clark County, Indiana,"56,842",278,"3,011","9,025","1,071","6,845","5,171",910,"4,417","3,851","10,781","6,234","3,285","1,963",44,2
193,Vigo County, Indiana,"46,484",343,"3,411","7,594",970,"5,823","1,712",440,"2,393","2,915","12,193","5,390","1,728","1,572",44,2
404,Geauga County, Ohio,"47,945",655,"4,106","7,533","2,035","5,680","1,772","1,162","2,956","4,471","9,927","3,731","2,706","1,211",44,2
246,Suffolk County, Massachusetts,"423,556",818,"17,209","19,087","8,014","38,493","17,839","9,923","33,927","66,971","128,588","47,551","18,644","16,492",43,2
354,Richmond County, New York,"208,536",272,"16,477","5,045","2,752","21,271","13,783","5,376","21,075","24,664","61,620","14,626","7,833","13,742",43,2
519,Denton County, Texas,"418,085","4,477","22,518","32,914","16,080","50,592","24,384","12,114","40,612","57,177","81,366","39,591","23,706","12,554",43,2
416,Montgomery County, Ohio,"241,469",610,"12,779","31,620","5,520","25,129","9,715","4,538","13,557","24,657","64,486","25,261","11,493","12,104",43,2
233,Harford County, Maryland,"125,798",577,"9,708","7,522","4,282","16,635","5,424","1,986","9,668","14,239","30,247","8,453","5,891","11,166",43,2
229,Carroll County, Maryland,"86,245","1,034","7,027","5,930","2,506","8,317","3,635","2,540","6,002","10,120","19,254","5,901","4,871","9,108",43,2
501,Knox County, Tennessee,"226,545",961,"10,040","16,834","6,043","33,452","9,985","5,200","12,962","30,267","59,239","23,230","9,728","8,604",43,2
373,Forsyth County, North Carolina,"168,831",985,"11,109","19,835","4,470","18,162","7,191","2,287","10,794","18,312","46,199","15,083","9,019","5,385",43,2
459,Lackawanna County, Pennsylvania,"100,019",725,"5,777","11,237","4,106","11,239","4,825","1,823","5,315","8,840","28,366","8,680","4,623","4,463",43,2
409,Lake County, Ohio,"120,554",685,"4,725","25,341","4,088","14,555","5,751","1,789","7,666","10,288","27,429","9,405","4,493","4,339",43,2
164,McHenry County, Illinois,"163,454","1,113","11,661","25,028","6,772","20,279","7,659","3,681","12,394","17,433","30,525","15,375","7,531","4,003",43,2
434,Jackson County, Oregon,"90,729","3,749","5,653","8,645","1,246","14,035","4,066","1,166","3,473","8,203","22,007","9,376","5,141","3,969",43,2
173,Allen County, Indiana,"175,857","1,050","10,069","33,499","5,443","19,536","6,508","3,531","13,603","13,836","40,518","16,005","8,851","3,408",43,2
86,Middlesex County, Connecticut,"87,621",381,"5,680","11,041","2,505","7,577","3,776","2,418","6,573","9,331","23,191","7,576","4,403","3,169",43,2
550,Washington County, Utah,"62,786","1,165","4,598","3,967","1,230","9,992","2,407","1,481","3,854","6,014","14,620","9,027","2,369","2,062",43,2
211,Campbell County, Kentucky,"46,781",420,"1,876","5,684",975,"5,643","1,872",808,"4,693","4,340","12,822","4,161","2,208","1,279",43,2
319,Mercer County, New Jersey,"180,186",315,"7,622","14,930","4,924","20,198","7,873","3,029","15,404","25,475","44,496","14,722","8,047","13,151",42,2
317,Hudson County, New Jersey,"353,633",149,"19,564","24,002","14,030","35,561","27,366","11,955","39,603","52,637","71,127","30,051","17,364","10,224",42,2
579,Spokane County, Washington,"212,649","3,120","12,264","17,689","7,143","26,354","10,139","3,031","15,460","19,866","57,400","18,651","12,045","9,487",42,2
466,Montgomery County, Pennsylvania,"423,298","1,312","25,500","46,430","12,294","43,094","13,953","10,516","40,826","64,186","103,786","32,741","20,353","8,307",42,2
516,Cameron County, Texas,"154,177","3,253","11,558","8,263","3,973","21,395","8,424","2,274","6,331","11,549","49,669","11,954","7,656","7,878",42,2
299,Douglas County, Nebraska,"284,474","2,732","18,605","22,870","7,676","31,136","13,460","6,657","30,311","36,796","69,399","26,103","11,581","7,148",42,2
405,Greene County, Ohio,"78,307",645,"3,210","8,866","1,821","8,066","2,279","1,106","4,893","9,281","21,037","6,499","4,176","6,428",42,2
331,Santa Fe County, New Mexico,"71,599",976,"4,404","1,820",745,"8,299","2,191","1,388","3,508","11,728","15,814","10,395","3,968","6,363",42,2
316,Gloucester County, New Jersey,"143,071",773,"9,638","10,120","4,727","16,599","9,134","2,735","9,749","16,900","38,346","12,432","6,114","5,804",42,2
611,Laramie County, Wyoming,"45,849","2,970","2,167","2,024",744,"7,010","2,983",989,"3,028","4,086","9,561","3,765",905,"5,617",42,2
93,Sussex County, Delaware,"91,896","2,834","9,774","9,496","2,077","12,057","3,104","1,197","3,921","7,022","21,075","8,641","5,283","5,415",42,2
530,Jefferson County, Texas,"106,495","1,423","11,640","13,906","2,442","12,781","4,562",863,"4,160","9,794","23,614","10,007","5,936","5,367",42,2
410,Licking County, Ohio,"79,938",755,"5,590","9,487","1,598","11,760","3,472","1,283","7,111","6,634","16,368","7,002","3,699","5,179",42,2
422,Warren County, Ohio,"111,476",769,"5,680","17,428","4,929","12,871","3,590","1,771","7,747","13,684","25,772","7,110","5,512","4,613",42,2
264,Washtenaw County, Michigan,"181,977","1,072","6,340","18,416","2,807","17,851","5,569","3,926","6,436","21,370","67,910","18,718","7,214","4,348",42,2
413,Mahoning County, Ohio,"103,419",546,"5,693","13,486","2,750","14,583","5,051","1,220","6,016","9,118","25,624","9,912","5,598","3,822",42,2
168,Peoria County, Illinois,"85,449","1,338","4,412","14,295","2,241","9,338","3,669","1,325","4,054","8,042","21,784","6,931","4,417","3,603",42,2
261,Ottawa County, Michigan,"141,505","1,642","7,200","35,879","5,084","14,982","4,762","1,827","6,692","10,991","29,284","12,384","7,186","3,592",42,2
159,Champaign County, Illinois,"101,586",726,"3,873","9,239","2,552","10,720","4,009","1,861","4,938","9,125","38,849","9,566","3,074","3,054",42,2
259,Muskegon County, Michigan,"72,983",539,"4,118","19,560","1,487","8,715","1,676","1,055","1,746","5,141","15,659","7,363","3,338","2,586",42,2
415,Miami County, Ohio,"49,834",206,"2,585","12,152",580,"5,351","1,345",765,"2,762","4,768","10,299","4,879","1,631","2,511",42,2
451,Centre County, Pennsylvania,"77,408","1,249","3,590","6,720","1,161","7,839","2,243",377,"2,102","7,624","30,048","8,345","3,625","2,485",42,2
492,Spartanburg County, South Carolina,"134,166","1,010","7,915","29,533","6,030","15,486","5,927","3,091","5,316","10,576","25,914","12,956","8,131","2,281",42,2
176,Elkhart County, Indiana,"92,706",772,"3,882","34,536","1,757","9,572","3,575",992,"3,159","5,283","15,459","6,200","5,242","2,277",42,2
256,Lenawee County, Michigan,"41,947",771,"2,626","8,782",657,"4,709","1,451",490,"2,190","2,801","10,351","2,721","2,496","1,902",42,2
250,Berrien County, Michigan,"70,514",676,"3,694","14,496","1,555","8,356","3,522","1,059","3,380","5,190","16,192","7,912","3,035","1,447",42,2
295,Flathead County, Montana,"43,794","1,198","5,735","2,476",958,"5,135","1,869",683,"3,602","4,558","10,782","3,379","2,069","1,350",42,2
576,Pierce County, Washington,"378,773","2,395","30,670","40,654","11,640","46,755","25,128","6,223","18,642","31,823","87,199","34,654","17,269","25,721",41,2
370,Cumberland County, North Carolina,"122,639",599,"6,783","8,747","1,805","18,114","3,843","2,322","4,414","12,613","32,606","13,633","6,778","10,382",41,2
425,Cleveland County, Oklahoma,"137,046","3,982","7,073","9,106","4,001","15,882","6,116","2,515","8,020","12,794","36,703","13,724","6,929","10,201",41,2
91,Kent County, Delaware,"77,287",663,"4,846","6,156","1,660","11,187","2,423",842,"4,187","6,411","17,546","9,852","3,549","7,965",41,2
375,Guilford County, North Carolina,"245,890","1,284","15,087","29,962","8,514","27,458","12,553","3,700","20,199","25,142","56,757","24,837","13,700","6,697",41,2
372,Durham County, North Carolina,"157,950","1,546","10,245","12,891","2,380","11,694","3,020","3,532","7,658","19,851","55,598","16,754","6,198","6,583",41,2
308,Rockingham County, New Hampshire,"173,766","1,229","10,890","25,151","5,886","22,320","8,746","4,337","11,151","21,420","37,818","12,230","6,243","6,345",41,2
397,Butler County, Ohio,"177,826","1,231","9,864","25,902","6,018","22,359","8,046","2,334","13,123","16,344","41,175","18,284","7,559","5,587",41,2
288,Clay County, Missouri,"122,645",821,"4,784","15,661","4,583","14,085","8,893","2,598","9,109","14,096","26,017","10,997","5,486","5,515",41,2
412,Lucas County, Ohio,"197,937",397,"8,895","32,443","5,099","22,077","11,292","2,195","6,585","19,714","53,534","20,517","9,720","5,469",41,2
23,Yavapai County, Arizona,"84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",41,2
254,Kalamazoo County, Michigan,"130,471","1,027","4,798","21,167","2,661","13,842","3,517","1,459","7,953","12,220","38,297","14,646","4,872","4,012",41,2
329,Sandoval County, New Mexico,"61,134",617,"3,757","3,931","2,268","7,445","2,727","1,025","3,958","7,408","14,737","7,234","2,437","3,590",41,2
500,Hamilton County, Tennessee,"166,257",727,"7,941","21,620","4,801","20,611","13,746","2,611","12,820","17,469","35,861","16,019","8,609","3,422",41,2
125,Bibb County, Georgia,"61,564",366,"2,836","5,522","1,066","7,340","3,297",967,"5,069","5,811","18,177","5,515","2,478","3,120",41,2
196,Linn County, Iowa,"117,437",873,"7,202","18,762","2,718","15,847","6,955","4,038","8,192","11,321","26,084","7,227","5,265","2,953",41,2
189,Porter County, Indiana,"76,412",228,"4,815","13,947","1,523","8,669","4,797",687,"3,036","8,018","19,880","5,206","2,954","2,652",41,2
596,Kenosha County, Wisconsin,"83,941","1,078","4,578","16,317","2,739","10,055","4,496","1,090","3,775","6,904","19,304","7,051","4,182","2,372",41,2
423,Wood County, Ohio,"68,188",788,"3,409","12,593","1,672","7,383","5,222",949,"2,260","4,920","16,536","7,284","2,863","2,309",41,2
603,Rock County, Wisconsin,"78,782","1,456","4,719","17,596","2,164","10,165","2,730","1,261","3,135","5,349","18,572","6,324","3,163","2,148",41,2
612,Natrona County, Wyoming,"40,357","4,000","2,803","2,240","1,310","5,649","1,710",724,"1,667","3,321","7,916","4,318","2,643","2,056",41,2
248,Allegan County, Michigan,"53,267","1,518","4,468","15,141","1,316","6,198","1,779",487,"1,740","3,799","8,721","4,291","2,368","1,441",41,2
395,Ashtabula County, Ohio,"39,519",619,"2,249","9,687","1,069","4,122","1,724",737,"1,141","2,213","10,635","2,989","1,305","1,029",41,2
108,Leon County, Florida,"142,062",432,"4,247","1,828","2,516","17,474","5,059","2,053","8,910","15,955","39,683","19,359","6,520","18,026",40,2
591,Dane County, Wisconsin,"299,966","3,255","13,048","25,626","6,665","29,698","8,594","8,412","22,476","39,895","83,406","30,363","13,638","14,890",40,2
491,Richland County, South Carolina,"194,291",549,"9,427","15,463","3,862","24,718","9,652","3,861","16,847","19,281","45,323","20,930","9,787","14,591",40,2
564,Stafford County, Virginia,"67,347",274,"5,430","2,613",651,"7,575","1,793",942,"3,414","10,245","13,909","4,414","2,171","13,916",40,2
152,Ada County, Idaho,"211,320","2,792","13,294","17,062","5,744","24,180","8,084","4,887","14,515","28,270","50,752","19,108","11,447","11,185",40,2
253,Ingham County, Michigan,"136,629",871,"4,403","13,157","2,642","15,213","5,173","2,185","9,744","13,024","41,359","14,019","6,340","8,499",40,2
102,Escambia County, Florida,"136,849","1,495","6,983","5,314","2,993","22,518","6,538","1,799","12,391","16,343","28,084","16,731","7,874","7,786",40,2
273,Washington County, Minnesota,"133,637",557,"7,646","18,688","3,864","14,932","5,734","2,577","11,104","12,691","33,326","9,920","5,562","7,036",40,2
206,Sedgwick County, Kansas,"243,672","2,337","16,695","45,520","5,830","31,538","9,168","5,080","11,216","21,186","54,868","22,850","11,183","6,201",40,2
252,Genesee County, Michigan,"168,901",772,"9,461","27,953","3,952","22,772","7,254","1,902","8,820","14,197","41,510","16,005","9,200","5,103",40,2
437,Lane County, Oregon,"165,490","3,614","9,022","17,540","4,224","22,892","6,172","3,066","8,797","15,791","43,276","18,286","7,814","4,996",40,2
8,Mobile County, Alabama,"174,686","1,742","12,218","23,280","4,629","20,173","9,005","2,903","7,960","16,437","47,349","13,756","10,348","4,886",40,2
426,Comanche County, Oklahoma,"52,450",966,"3,192","3,714",459,"6,375","2,185","1,203","4,057","4,803","11,696","5,010","3,940","4,850",40,2
122,Sarasota County, Florida,"158,795",474,"11,034","11,032","3,437","19,240","5,420","2,413","13,765","22,405","36,476","19,716","8,764","4,619",40,2
608,Waukesha County, Wisconsin,"213,574",739,"11,012","40,402","8,528","23,470","7,016","3,432","17,377","22,612","49,754","15,360","9,601","4,271",40,2
419,Stark County, Ohio,"184,215","3,032","11,811","30,287","7,331","21,105","7,978","3,537","9,578","15,560","41,633","18,608","9,647","4,108",40,2
457,Erie County, Pennsylvania,"127,249","1,544","5,023","22,891","2,649","12,943","4,647","1,862","8,760","8,107","32,116","16,257","6,351","4,099",40,2
226,York County, Maine,"105,884","1,544","8,682","13,213","2,039","12,860","2,879","2,504","7,716","8,338","26,765","11,699","3,746","3,899",40,2
263,St. Clair County, Michigan,"71,745",608,"5,551","15,618","1,344","7,681","4,469",902,"2,721","3,660","15,044","6,910","3,427","3,810",40,2
510,Sumner County, Tennessee,"88,193",689,"4,529","9,433","5,136","10,399","5,634","1,524","4,870","10,455","19,312","8,023","4,866","3,323",40,2
558,Hanover County, Virginia,"55,544","1,094","5,309","2,504","2,205","5,968","3,434","1,451","5,635","5,438","12,242","4,166","2,838","3,260",40,2
287,Cass County, Missouri,"50,662",624,"4,189","5,629","1,326","6,012","3,062","1,260","3,261","5,109","10,043","4,578","2,546","3,023",40,2
521,Ellis County, Texas,"79,557",820,"6,696","9,260","2,423","10,591","6,777","1,503","5,525","8,836","15,699","5,206","3,564","2,657",40,2
421,Trumbull County, Ohio,"89,646",842,"4,541","20,456","1,357","11,148","5,440","1,351","4,199","6,199","18,911","8,891","3,806","2,505",40,2
495,Pennington County, South Dakota,"54,629","1,502","3,958","3,585","1,399","6,467","2,580",748,"4,378","5,923","12,139","6,884","2,855","2,211",40,2
166,Macon County, Illinois,"47,989","1,278","3,137","7,726","1,142","5,549","2,864",776,"3,069","3,481","10,085","4,998","2,135","1,749",40,2
594,Fond du Lac County, Wisconsin,"53,310","2,213","3,529","11,160",867,"5,591","2,515",720,"3,395","2,887","11,894","4,518","2,277","1,744",40,2
546,Cache County, Utah,"57,513","1,458","3,218","10,203",711,"7,542","1,277",783,"2,002","7,638","14,257","4,249","2,588","1,587",40,2
595,Jefferson County, Wisconsin,"45,548","1,485","3,291","10,928","1,431","5,094","1,531",264,"1,927","2,641","9,949","4,040","1,386","1,581",40,2
185,LaPorte County, Indiana,"46,640",716,"2,472","10,646",894,"6,369","2,687",430,"1,708","3,152","9,806","4,017","2,232","1,511",40,2
605,Sheboygan County, Wisconsin,"59,624","1,023","2,595","19,712","1,082","6,789","2,984",239,"2,728","3,696","10,292","4,672","2,464","1,348",40,2
497,Blount County, Tennessee,"58,977",324,"3,260","8,997","1,270","7,972","2,633","1,275","4,466","7,208","11,659","5,113","3,477","1,323",40,2
606,Walworth County, Wisconsin,"52,314","1,182","5,127","9,107","1,165","5,624","1,825",937,"2,442","3,406","11,691","6,724","1,888","1,196",40,2
158,Adams County, Illinois,"32,044",770,"1,404","4,505","1,455","3,936","1,443",395,"2,425","2,477","8,675","2,033","1,515","1,011",40,2
323,Ocean County, New Jersey,"259,480",523,"22,400","13,629","8,288","39,929","14,478","4,227","16,607","25,580","67,413","21,131","11,633","13,642",39,2
554,Chesterfield County, Virginia,"173,429",404,"11,747","12,486","7,006","22,091","8,331","2,879","15,898","18,802","37,943","14,917","9,834","11,091",39,2
559,Henrico County, Virginia,"173,867",568,"8,105","9,939","4,993","21,511","8,558","3,255","21,037","19,968","41,411","16,802","8,136","9,584",39,2
241,Hampden County, Massachusetts,"219,197","1,486","9,393","24,986","6,481","28,541","10,811","4,176","17,102","16,976","63,604","18,485","7,778","9,378",39,2
523,Galveston County, Texas,"150,643","3,567","14,098","13,764","2,767","14,628","6,289","2,096","9,430","17,159","36,885","16,649","5,898","7,413",39,2
