Unnamed: 0,County_Name,State_Name,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,2019_Median_AQI,2019_Binning
36,El Dorado County, California,"90,690","1,699","7,479","7,098","2,401","9,140","4,242","1,570","5,565","10,970","18,634","11,755","4,234","5,903",43,2
611,Laramie County, Wyoming,"48,790","1,259","3,106","1,682","1,312","6,465","3,568",473,"3,477","4,425","11,403","4,289","1,989","5,342",43,2
530,Jefferson County, Texas,"106,369",874,"14,170","15,793","3,214","13,157","5,347",984,"4,611","7,585","21,500","8,237","5,642","5,255",43,2
397,Butler County, Ohio,"184,893",350,"11,357","31,343","4,484","22,225","9,569","2,015","12,065","17,698","44,487","16,252","7,826","5,222",43,2
173,Allen County, Indiana,"190,492",628,"11,189","38,287","5,011","22,418","9,461","2,977","12,081","13,776","44,993","17,652","7,084","4,935",43,2
422,Warren County, Ohio,"120,711","1,139","5,549","21,944","2,884","14,219","3,488","1,345","10,080","15,408","26,206","9,353","4,194","4,902",43,2
426,Comanche County, Oklahoma,"47,014",758,"2,142","3,978",943,"5,696","1,454",775,"2,000","3,473","14,159","4,976","2,083","4,577",43,2
23,Yavapai County, Arizona,"93,799","2,613","9,847","5,168","1,034","11,902","3,319",924,"4,521","8,823","22,592","11,267","7,429","4,360",43,2
31,Washington County, Arkansas,"113,668","1,087","9,328","13,591","2,014","14,945","5,742","1,292","5,170","12,294","27,164","12,714","4,861","3,466",43,2
388,Rowan County, North Carolina,"65,063","1,201","7,651","10,237","1,898","5,737","3,120",437,"2,256","4,387","13,768","6,908","4,763","2,700",43,2
166,Macon County, Illinois,"44,586",818,"2,102","8,087","1,408","4,875","2,194",819,"2,079","3,603","10,277","4,153","2,497","1,674",43,2
551,Weber County, Utah,"133,583","1,307","10,804","16,563","3,766","17,578","5,924","2,381","7,977","12,966","24,561","10,498","5,972","13,286",42,2
129,Cobb County, Georgia,"405,753",732,"30,629","29,220","13,211","45,588","22,922","10,161","32,569","70,719","79,610","37,571","20,474","12,347",42,2
325,Union County, New Jersey,"284,667",610,"16,989","25,084","9,604","27,535","30,958","5,021","21,722","38,456","61,799","19,756","14,931","12,202",42,2
536,Nueces County, Texas,"165,427","4,406","17,846","10,272","3,297","21,294","8,913","1,345","10,433","15,787","36,611","15,682","11,248","8,293",42,2
420,Summit County, Ohio,"270,057",459,"14,665","39,178","8,926","31,399","13,160","4,460","16,522","29,780","64,496","26,995","12,293","7,724",42,2
501,Knox County, Tennessee,"234,129","1,175","15,955","18,774","7,526","29,639","10,700","4,335","16,032","29,378","55,012","27,846","10,219","7,538",42,2
91,Kent County, Delaware,"80,350",860,"5,282","6,097","1,281","12,632","5,720",719,"3,868","6,828","19,430","6,626","3,485","7,522",42,2
375,Guilford County, North Carolina,"255,934","1,197","14,461","32,002","9,760","29,583","15,086","4,852","18,117","24,362","62,535","27,889","9,443","6,647",42,2
214,Fayette County, Kentucky,"166,533","2,852","8,106","14,761","4,031","21,505","5,485","1,468","9,415","16,494","50,641","18,124","7,583","6,068",42,2
447,Berks County, Pennsylvania,"210,794","3,529","13,814","33,427","5,712","22,639","15,268","3,522","11,291","19,438","50,926","16,180","9,344","5,704",42,2
64,Shasta County, California,"77,273","1,308","5,741","5,285","1,741","8,797","4,098","1,011","3,596","6,222","21,269","8,143","4,557","5,505",42,2
372,Durham County, North Carolina,"165,940",331,"9,913","10,518","3,274","15,053","4,863","1,946","8,351","22,365","59,396","14,556","10,377","4,997",42,2
93,Sussex County, Delaware,"100,922","2,697","8,564","6,168","1,348","13,164","3,527","1,868","6,328","11,270","25,874","11,006","4,320","4,788",42,2
493,York County, South Carolina,"145,129",724,"6,974","17,085","4,662","17,409","9,327","2,512","15,206","17,769","26,555","14,920","8,242","3,744",42,2
11,Shelby County, Alabama,"110,000",861,"6,843","8,781","4,607","10,612","6,210","2,452","11,909","12,709","24,537","8,983","7,780","3,716",42,2
89,Tolland County, Connecticut,"79,831","1,169","5,300","8,984","1,691","8,155","3,565","1,063","6,661","6,782","24,042","5,946","3,118","3,355",42,2
169,Rock Island County, Illinois,"66,636",597,"4,838","10,872","1,226","8,256","5,662",672,"2,832","4,964","13,306","6,900","3,257","3,254",42,2
172,Winnebago County, Illinois,"133,731",800,"7,257","30,949","3,493","13,426","8,761","1,575","3,763","11,074","33,207","10,327","5,876","3,223",42,2
511,Williamson County, Tennessee,"125,428",468,"6,313","9,328","3,569","15,257","2,922","3,478","12,295","19,057","29,678","12,846","7,277","2,940",42,2
478,Anderson County, South Carolina,"95,471",146,"6,625","16,882","2,702","12,794","5,103",861,"3,200","8,072","22,882","7,925","5,594","2,685",42,2
443,Adams County, Pennsylvania,"52,337","1,062","4,154","7,957","1,110","7,009","2,222",584,"1,424","3,435","13,453","4,606","2,749","2,572",42,2
159,Champaign County, Illinois,"101,692","1,605","3,050","7,703","1,934","7,851","5,673","2,286","3,848","7,634","42,446","10,856","4,426","2,380",42,2
612,Natrona County, Wyoming,"41,245","3,755","4,121","1,575",675,"4,160","1,976",484,"1,162","3,673","9,757","4,908","2,748","2,251",42,2
404,Geauga County, Ohio,"47,058",684,"5,851","6,923","1,170","4,503",936,392,"2,733","5,867","11,094","2,889","2,246","1,770",42,2
576,Pierce County, Washington,"433,056","2,689","40,949","40,310","15,610","49,045","30,745","3,930","20,996","44,339","94,251","38,677","24,898","26,617",41,2
315,Essex County, New Jersey,"389,652",617,"28,150","24,610","9,852","38,413","34,502","9,149","32,727","52,768","94,371","28,173","17,709","18,611",41,2
87,New Haven County, Connecticut,"427,382",522,"26,215","44,242","9,749","48,225","20,079","7,340","28,445","40,480","135,030","32,812","19,106","15,137",41,2
473,York County, Pennsylvania,"227,753","2,445","13,818","37,335","7,318","24,908","15,118","2,204","13,121","21,127","50,532","16,269","11,105","12,453",41,2
455,Dauphin County, Pennsylvania,"141,549","1,825","5,849","14,663","6,499","14,601","8,841","1,231","10,263","14,075","35,138","10,635","6,434","11,495",41,2
319,Mercer County, New Jersey,"176,443","1,082","7,224","11,447","5,434","15,186","8,871","4,113","15,016","27,251","50,198","12,062","7,497","11,062",41,2
405,Greene County, Ohio,"80,903",352,"3,135","7,155","1,284","10,379","2,492","1,915","2,564","10,758","20,381","8,014","3,025","9,449",41,2
370,Cumberland County, North Carolina,"130,444",566,"9,925","10,999","1,991","17,772","6,737","1,666","4,152","12,255","32,471","15,868","6,595","9,447",41,2
545,Webb County, Texas,"117,386","4,358","5,926","4,122","4,567","17,086","15,172","1,256","4,103","9,191","27,010","10,518","5,886","8,191",41,2
207,Shawnee County, Kansas,"89,706",759,"6,691","10,077","2,038","9,671","4,856","1,206","7,311","6,414","22,094","6,996","3,801","7,792",41,2
71,Yolo County, California,"102,328","3,646","6,091","4,501","1,524","8,434","6,285","1,978","4,453","11,089","32,476","11,339","4,033","6,479",41,2
178,Hamilton County, Indiana,"180,528",909,"7,207","19,271","8,232","16,780","6,123","2,103","19,741","26,831","45,701","13,884","8,143","5,603",41,2
277,Harrison County, Mississippi,"85,741",711,"5,727","6,395","1,521","10,144","4,193","1,234","3,339","7,799","20,211","14,378","4,798","5,291",41,2
410,Licking County, Ohio,"88,848","1,573","5,142","10,196","1,720","11,236","4,655","1,092","8,635","7,140","21,573","7,602","3,671","4,613",41,2
558,Hanover County, Virginia,"58,228",578,"5,255","3,167","1,968","6,811","3,116",592,"4,122","4,983","16,560","3,895","3,232","3,949",41,2
190,St. Joseph County, Indiana,"128,512",684,"5,615","22,437","2,828","13,571","4,697","1,792","7,524","8,805","39,745","10,574","6,433","3,807",41,2
497,Blount County, Tennessee,"62,135",581,"3,601","9,678",941,"7,012","2,515",279,"3,152","5,626","14,272","7,771","3,024","3,683",41,2
402,Delaware County, Ohio,"107,971",211,"4,153","11,947","3,092","11,941","3,139","2,148","12,972","14,812","27,358","7,833","4,686","3,679",41,2
186,Madison County, Indiana,"58,522",636,"3,076","9,390","1,172","5,854","3,372","1,254","2,534","5,075","12,893","6,869","3,173","3,224",41,2
208,Wyandotte County, Kansas,"76,582",407,"8,092","10,214","2,864","7,181","5,509",738,"4,502","10,581","13,416","7,204","2,768","3,106",41,2
86,Middlesex County, Connecticut,"86,410",277,"6,422","9,024","1,962","7,142","4,214","1,752","4,709","10,162","23,803","10,249","3,726","2,968",41,2
210,Bullitt County, Kentucky,"42,579",241,"3,236","6,106","1,742","5,375","5,174",795,"3,053","4,100","6,571","2,558","1,473","2,155",41,2
465,Mercer County, Pennsylvania,"49,240",665,"2,466","9,126","1,008","4,967","2,408",212,"2,688","3,974","14,006","3,152","2,476","2,092",41,2
168,Peoria County, Illinois,"81,174",738,"3,416","11,824","1,544","7,828","3,779","1,396","4,383","7,798","25,757","7,080","3,580","2,051",41,2
509,Sullivan County, Tennessee,"71,362",797,"4,685","10,390","1,591","9,149","3,731","1,013","4,605","7,120","15,056","6,663","4,578","1,984",41,2
174,Clark County, Indiana,"59,052",23,"3,989","8,886","1,087","7,658","3,991",933,"3,991","6,017","12,204","5,329","3,025","1,919",41,2
192,Vanderburgh County, Indiana,"89,863",246,"5,721","12,911","2,174","9,943","4,937","2,311","3,601","7,609","21,223","13,036","4,408","1,743",41,2
394,Allen County, Ohio,"47,165",402,"2,446","10,601",767,"5,503","2,537",500,"1,254","3,281","11,315","5,733","1,174","1,652",41,2
448,Blair County, Pennsylvania,"58,519",491,"5,125","5,383","1,297","7,334","4,675",611,"1,830","4,527","18,019","5,320","2,358","1,549",41,2
10,Morgan County, Alabama,"53,551",260,"4,239","11,760","1,700","5,907","2,500","1,050","1,978","4,703","10,215","5,252","2,578","1,409",41,2
158,Adams County, Illinois,"33,001","1,016","1,663","3,412","1,012","4,905","2,331",686,"1,410","1,981","9,269","2,172","2,308",836,41,2
231,Charles County, Maryland,"84,381",219,"7,260","3,623","1,147","8,067","6,924","1,245","3,195","11,356","16,078","5,855","3,100","16,312",40,2
65,Solano County, California,"215,481","2,449","19,383","17,760","4,113","26,917","13,598","3,596","12,597","21,560","50,790","17,682","9,745","15,291",40,2
117,Pinellas County, Florida,"457,776",850,"26,558","27,884","11,718","56,359","15,551","9,388","42,801","68,744","106,322","53,849","23,769","13,983",40,2
247,Worcester County, Massachusetts,"431,073","1,688","29,808","52,007","11,229","49,541","20,455","7,317","22,659","47,622","122,111","34,378","18,583","13,675",40,2
170,Sangamon County, Illinois,"90,112","1,412","4,878","4,254","2,075","7,702","2,781",785,"7,467","9,128","24,669","7,644","4,519","12,798",40,2
239,Bristol County, Massachusetts,"287,269","1,773","25,102","28,505","7,871","38,652","14,314","4,300","16,523","27,813","77,209","22,864","11,484","10,859",40,2
162,Kane County, Illinois,"274,821","1,234","18,551","41,041","10,213","30,389","16,520","4,199","21,074","35,787","48,289","27,720","12,680","7,124",40,2
377,Johnston County, North Carolina,"101,502",700,"13,101","10,290","3,308","12,030","4,435","2,027","5,269","9,158","20,304","8,981","5,039","6,860",40,2
288,Clay County, Missouri,"131,638",755,"7,741","13,499","4,816","15,657","11,219","1,403","11,511","13,469","27,843","10,925","6,131","6,669",40,2
586,Kanawha County, West Virginia,"75,786","1,221","4,640","2,982","1,268","8,934","2,994",842,"5,130","8,179","20,259","7,989","4,711","6,637",40,2
102,Escambia County, Florida,"141,224",677,"11,847","6,980","3,445","16,783","5,866","1,696","13,848","14,485","35,486","16,284","7,623","6,204",40,2
412,Lucas County, Ohio,"197,998",786,"11,001","34,875","5,946","24,676","11,153","2,751","9,183","19,334","46,554","18,437","7,339","5,963",40,2
467,Northampton County, Pennsylvania,"153,528","1,036","8,785","21,060","5,528","14,460","11,738","2,616","8,664","12,190","42,654","12,233","6,605","5,959",40,2
314,Cumberland County, New Jersey,"60,564","1,443","3,530","8,255","2,419","6,745","2,202",412,"2,235","6,356","15,817","4,389","2,049","4,712",40,2
236,Washington County, Maryland,"69,495",822,"6,055","4,910","2,457","9,075","6,594","1,021","3,718","8,228","14,623","4,470","2,947","4,575",40,2
583,Berkeley County, West Virginia,"59,463",797,"3,750","6,859","1,445","8,034","5,931","1,149","1,850","5,632","14,018","3,821","1,766","4,411",40,2
608,Waukesha County, Wisconsin,"218,537",577,"11,035","36,467","6,994","23,468","7,860","3,371","19,614","23,949","52,640","16,739","11,444","4,379",40,2
596,Kenosha County, Wisconsin,"84,978","1,071","3,944","17,040","2,660","10,891","4,066","1,326","4,479","7,224","18,057","7,128","3,130","3,962",40,2
521,Ellis County, Texas,"92,686",943,"8,542","11,696","3,521","12,631","6,258","1,635","5,842","7,988","19,738","6,472","3,595","3,825",40,2
510,Sumner County, Tennessee,"96,531",428,"6,555","11,262","3,970","11,525","7,356","1,130","5,290","10,382","21,646","9,936","3,635","3,416",40,2
421,Trumbull County, Ohio,"84,658",486,"4,840","16,933","1,727","10,099","4,216","1,092","4,765","5,525","20,023","7,500","4,338","3,114",40,2
399,Clermont County, Ohio,"105,011",155,"8,023","14,903","3,131","14,087","4,723","1,101","8,920","13,787","20,141","8,608","4,615","2,817",40,2
211,Campbell County, Kentucky,"48,359",0,"3,158","4,974","2,180","5,151","1,475",784,"4,454","7,025","11,559","3,823","1,112","2,664",40,2
143,Muscogee County, Georgia,"78,408",590,"3,954","8,161","1,855","9,464","3,729","1,189","9,542","7,608","16,565","9,296","3,823","2,632",40,2
512,Wilson County, Tennessee,"72,853",80,"6,918","7,719","2,370","8,160","5,828","1,144","4,855","6,903","17,777","6,350","2,418","2,331",40,2
189,Porter County, Indiana,"80,286",253,"7,170","14,102","1,530","8,170","4,692","1,014","3,815","6,920","19,025","7,616","3,795","2,184",40,2
415,Miami County, Ohio,"50,272",706,"2,815","13,240","1,184","6,351","2,573","1,000","1,612","3,573","8,377","4,537","2,177","2,127",40,2
297,Missoula County, Montana,"65,342","2,546","3,725","2,661","1,085","9,061","3,744","1,557","3,765","6,425","18,644","7,078","3,043","2,008",40,2
133,Douglas County, Georgia,"72,393",62,"3,918","5,539","2,480","8,153","5,735","1,473","5,091","7,471","20,110","6,995","3,408","1,958",40,2
592,Dodge County, Wisconsin,"46,413","1,778","3,782","12,693",991,"5,569","2,454",373,"1,661","2,530","9,311","2,411","1,111","1,749",40,2
220,Warren County, Kentucky,"68,799",802,"3,495","9,447","2,418","8,927","3,620",237,"2,887","6,095","18,076","8,839","2,516","1,440",40,2
84,Hartford County, Connecticut,"459,995","2,416","23,122","47,261","12,055","47,247","21,846","8,804","44,943","46,707","129,585","39,041","19,448","17,520",39,2
564,Stafford County, Virginia,"75,708",75,"4,877","2,329","1,086","8,128","5,249",669,"2,812","12,037","15,780","5,840","3,181","13,645",39,2
554,Chesterfield County, Virginia,"184,935",368,"15,842","12,834","3,401","21,486","9,678","2,749","15,081","20,623","44,021","15,357","10,629","12,866",39,2
197,Polk County, Iowa,"259,751","2,734","16,103","25,201","6,421","29,322","11,812","4,578","38,836","27,478","53,147","21,264","11,881","10,974",39,2
241,Hampden County, Massachusetts,"226,043","1,629","10,622","25,241","6,543","24,564","13,853","2,529","14,677","14,937","70,303","20,089","11,128","9,928",39,2
324,Passaic County, New Jersey,"252,644",400,"17,766","32,052","8,389","29,725","20,917","4,613","15,115","28,523","56,911","20,221","9,966","8,046",39,2
523,Galveston County, Texas,"165,946","3,704","11,510","15,547","3,349","13,773","12,017","1,844","10,317","18,480","44,879","16,723","6,361","7,442",39,2
206,Sedgwick County, Kansas,"253,334","2,353","19,118","46,228","6,715","25,658","10,237","2,981","12,077","23,762","61,031","24,552","11,846","6,776",39,2
121,Santa Rosa County, Florida,"78,050",552,"6,647","3,760","1,297","9,888","4,424","2,515","5,854","9,958","16,539","8,130","3,066","5,420",39,2
289,Greene County, Missouri,"137,585",814,"7,579","12,741","3,860","15,857","7,335","2,385","9,189","13,062","36,680","13,484","9,511","5,088",39,2
292,Jefferson County, Missouri,"114,144",713,"10,936","14,887","3,305","14,440","6,628","1,512","7,787","10,940","24,656","8,738","4,821","4,781",39,2
125,Bibb County, Georgia,"65,512",29,"3,139","5,095","2,604","7,908","3,987",882,"3,731","7,672","15,622","6,643","3,446","4,754",39,2
230,Cecil County, Maryland,"51,468",792,"5,209","3,542","1,710","3,915","2,852",572,"4,069","6,214","10,440","5,023","2,517","4,613",39,2
223,Cumberland County, Maine,"165,142","2,248","10,230","12,665","3,527","19,171","5,886","3,453","15,556","22,291","47,043","13,551","4,958","4,563",39,2
275,DeSoto County, Mississippi,"92,703","1,366","4,196","10,412","4,723","8,631","14,073",507,"5,596","8,089","20,121","7,010","3,820","4,159",39,2
413,Mahoning County, Ohio,"105,990",819,"6,812","14,495","2,259","13,965","6,513","1,117","4,520","7,894","25,815","12,268","5,377","4,136",39,2
264,Washtenaw County, Michigan,"193,750",670,"6,847","23,267","2,254","15,900","5,494","3,462","7,962","22,517","73,988","19,349","8,319","3,721",39,2
532,Kaufman County, Texas,"66,942",510,"7,314","4,761","2,946","9,600","5,025",977,"4,636","7,109","13,878","3,469","3,145","3,572",39,2
450,Cambria County, Pennsylvania,"57,273",836,"3,841","5,222",946,"7,171","5,190",802,"2,329","4,231","16,877","4,650","2,391","2,787",39,2
209,Boone County, Kentucky,"72,238",268,"3,585","11,316","2,867","9,819","5,665",763,"5,020","7,165","14,971","5,970","2,060","2,769",39,2
196,Linn County, Iowa,"120,018","1,419","7,973","20,415","2,550","13,858","8,890","2,218","9,120","10,787","27,574","9,241","3,265","2,708",39,2
602,Racine County, Wisconsin,"93,186",518,"7,331","18,428","3,492","8,866","4,893",740,"4,181","7,663","20,155","10,714","3,698","2,507",39,2
318,Hunterdon County, New Jersey,"67,524","1,623","5,122","8,465","2,329","6,311","1,821","1,531","5,902","9,386","14,570","4,906","3,131","2,427",39,2
395,Ashtabula County, Ohio,"43,253","1,195","2,747","9,044",635,"3,311","2,008",434,"2,048","2,100","10,389","4,653","2,497","2,192",39,2
250,Berrien County, Michigan,"69,777","1,112","4,790","13,281","1,568","6,866","3,801","1,111","2,559","5,549","16,034","7,215","4,152","1,739",39,2
256,Lenawee County, Michigan,"43,989","1,230","2,699","9,914",614,"4,985","1,255",519,"1,735","3,114","9,390","4,437","2,396","1,701",39,2
553,Arlington County, Virginia,"146,582",229,"4,617","3,088",856,"6,108","2,788","4,688","8,928","46,670","21,352","9,999","9,588","27,671",38,2
108,Leon County, Florida,"149,547",809,"5,816","3,489","1,964","14,993","4,910","1,795","9,383","18,503","42,799","15,009","8,329","21,748",38,2
339,Erie County, New York,"459,590","1,446","22,760","44,861","10,998","52,229","22,138","6,568","34,640","47,627","135,420","39,302","20,366","21,235",38,2
246,Suffolk County, Massachusetts,"465,571",788,"17,072","21,466","6,427","38,744","20,631","10,026","35,788","83,723","139,201","52,934","20,601","18,170",38,2
