County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Barbour County, Alabama","8,707",500,523,"2,091",179,930,492,68,341,444,"1,619",571,329,620,,11.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.40%,17.60%,20.80%,12.00%,0.00%,6.30%,16.10%,39.70%,43.40%,36.70%,66.70%,14.70%,18.20%,38.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,0.80%,3.10%,4.30%,11.70%,3.70%,2.20%,0.00%,3.50%,37.60%,22.90%,70.60%,57.10%,41.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,0.60%,1.70%,9.70%,71.50%,61.70%,28.70%,29.40%,53.10%,9.90%,9.00%,14.70%,17.90%,13.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.60%,64.40%,71.30%,11.00%,0.00%,0.90%,23.60%,30.90%,0.00%,0.00%,0.50%,0.00%,2.40%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.70%,16.60%,3.10%,63.20%,16.80%,27.40%,29.50%,0.00%,0.00%,15.80%,1.00%,0.00%,4.30%,4.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bibb County, Alabama","8,303",392,781,"1,211",260,898,516,119,416,584,"1,862",272,515,477,,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,22.50%,23.20%,19.70%,4.40%,0.00%,2.30%,4.10%,16.80%,26.70%,29.50%,58.70%,6.30%,8.30%,14.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,0.50%,0.00%,1.30%,0.00%,7.90%,3.90%,0.00%,0.00%,38.20%,27.00%,66.50%,26.60%,44.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.80%,0.00%,6.80%,3.20%,86.50%,72.50%,26.00%,79.00%,68.00%,17.50%,9.10%,22.40%,5.80%,10.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.20%,67.10%,69.10%,12.40%,6.50%,0.30%,11.80%,4.20%,2.60%,1.70%,0.10%,2.90%,33.60%,3.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.20%,9.20%,4.40%,78.70%,6.90%,16.90%,54.30%,0.00%,2.60%,13.20%,5.20%,1.80%,25.60%,27.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Blount County, Alabama","22,836",378,"2,094","3,968",949,"2,376","1,736",225,"1,367","1,708","4,853","1,122","1,201",859,,17.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.40%,48.40%,12.50%,10.70%,11.80%,7.10%,10.80%,36.40%,43.80%,38.50%,70.40%,20.10%,19.50%,19.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.10%,1.90%,0.50%,1.00%,4.60%,3.50%,2.90%,0.00%,0.30%,28.00%,16.70%,59.30%,30.50%,49.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.00%,0.00%,5.30%,11.30%,34.80%,55.80%,24.30%,18.70%,50.00%,20.90%,7.80%,18.40%,5.80%,22.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.50%,41.30%,79.90%,7.90%,25.70%,8.00%,5.20%,42.70%,2.80%,7.20%,2.50%,0.40%,35.90%,6.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.00%,8.50%,1.80%,69.00%,23.10%,25.80%,56.90%,2.20%,3.10%,5.40%,2.60%,2.00%,8.30%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bullock County, Alabama","4,007",105,293,"1,563",37,218,166,53,67,129,565,323,135,353,,17.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,17.30%,32.40%,0.00%,9.70%,45.90%,14.70%,22.90%,11.30%,49.30%,65.90%,31.00%,10.80%,16.30%,17.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,0.00%,0.00%,1.30%,0.00%,1.80%,3.00%,0.00%,13.40%,0.00%,54.30%,58.20%,78.50%,30.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,14.20%,44.80%,0.00%,3.00%,54.10%,78.40%,6.60%,37.70%,37.30%,0.00%,0.20%,31.00%,5.20%,34.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.40%,22.90%,100.00%,3.60%,0.00%,0.00%,23.50%,50.90%,0.00%,34.10%,2.70%,0.00%,0.00%,10.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,36.50%,0.00%,0.00%,82.40%,0.00%,5.00%,44.00%,0.00%,0.00%,0.00%,11.90%,0.00%,0.00%,7.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Butler County, Alabama","7,971",231,311,"2,036",136,808,356,76,407,496,"1,434",810,441,429,,16.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.50%,44.60%,6.40%,8.30%,6.60%,5.60%,14.30%,46.10%,51.10%,38.90%,64.90%,13.10%,32.00%,42.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,0.00%,2.30%,1.50%,0.00%,1.50%,0.00%,0.00%,0.00%,39.30%,21.50%,71.20%,21.10%,10.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,2.20%,0.00%,8.50%,37.50%,79.00%,41.00%,25.00%,39.60%,13.30%,6.80%,9.90%,5.20%,33.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.10%,33.30%,84.20%,14.70%,47.10%,0.00%,16.90%,28.90%,9.30%,0.00%,1.20%,2.00%,1.10%,6.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,25.30%,19.90%,7.10%,66.90%,8.80%,14.00%,27.80%,0.00%,0.00%,8.50%,5.60%,3.80%,40.60%,6.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","47,905",626,"2,487","8,659","1,260","6,315","2,074",599,"1,821","3,318","10,856","4,068","2,115","3,707",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.40%,30.70%,13.10%,18.70%,3.00%,8.10%,7.00%,40.70%,37.60%,38.80%,68.70%,15.50%,18.30%,28.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,4.30%,0.00%,1.60%,1.70%,4.00%,0.80%,6.50%,3.30%,21.20%,18.60%,68.50%,50.10%,25.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.20%,11.80%,2.10%,6.70%,49.20%,66.50%,23.00%,34.20%,51.40%,19.70%,9.90%,13.90%,14.00%,24.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.80%,44.60%,80.70%,8.00%,9.00%,3.40%,12.20%,18.50%,6.50%,3.30%,0.30%,0.40%,9.40%,14.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.70%,8.60%,4.20%,65.10%,37.10%,18.00%,56.90%,0.00%,1.20%,17.00%,2.50%,1.60%,8.20%,7.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Chambers County, Alabama","14,724",334,614,"4,469",299,"1,286",776,318,631,"1,149","2,685",979,545,639,,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,24.30%,50.90%,2.10%,6.40%,11.00%,11.60%,12.90%,52.80%,30.30%,37.50%,55.90%,31.30%,13.40%,25.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.70%,0.00%,0.00%,2.20%,4.00%,1.50%,2.20%,0.00%,2.40%,25.20%,30.90%,49.60%,41.80%,49.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.70%,7.20%,1.60%,8.10%,59.50%,64.50%,15.50%,24.50%,59.70%,27.10%,11.10%,17.30%,4.20%,18.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,38.30%,87.00%,4.00%,3.00%,4.50%,28.20%,22.60%,7.60%,0.00%,0.00%,0.00%,39.60%,6.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,30.00%,3.60%,9.30%,79.30%,22.40%,17.90%,41.20%,0.00%,0.00%,10.20%,2.00%,1.80%,0.90%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cherokee County, Alabama","10,310",338,954,"2,284",126,"1,071",594,69,364,381,"2,413",642,518,556,,11.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.80%,45.00%,21.80%,13.00%,4.80%,12.00%,10.90%,21.70%,20.30%,46.50%,69.30%,10.10%,18.70%,57.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,0.00%,3.10%,2.70%,0.00%,4.90%,0.00%,0.00%,0.00%,18.40%,21.10%,73.80%,50.80%,25.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,14.70%,3.80%,0.70%,2.90%,50.80%,54.20%,16.70%,66.70%,77.70%,17.30%,5.50%,16.00%,4.40%,4.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.70%,29.30%,67.60%,14.50%,6.30%,5.10%,14.10%,7.20%,0.00%,1.80%,1.40%,0.00%,15.80%,10.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,24.40%,21.90%,6.70%,66.90%,38.10%,23.80%,58.20%,4.30%,1.90%,16.00%,2.70%,0.00%,10.20%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Chilton County, Alabama","17,752",393,"2,626","2,578",651,"2,337","1,162",131,"1,287","1,015","2,873",770,"1,051",878,,12.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,22.10%,6.60%,11.20%,15.10%,19.00%,11.50%,14.20%,20.60%,20.00%,25.50%,52.60%,12.70%,11.80%,42.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.70%,5.10%,0.00%,2.90%,0.00%,6.40%,0.00%,0.00%,4.80%,26.40%,23.50%,60.40%,45.40%,26.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.70%,5.90%,5.40%,5.60%,37.50%,55.20%,20.30%,40.50%,68.10%,12.80%,16.70%,25.50%,5.60%,17.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,73.00%,74.60%,13.10%,7.50%,4.60%,16.40%,38.90%,6.40%,3.40%,0.90%,0.00%,21.30%,6.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.40%,9.40%,8.80%,63.30%,35.90%,22.30%,49.10%,0.00%,0.70%,31.80%,6.20%,1.40%,15.90%,7.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Choctaw County, Alabama","4,427",374,336,738,103,652,200,34,137,159,"1,077",271,173,173,,10.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.30%,32.40%,8.90%,6.90%,10.70%,6.00%,1.50%,67.60%,24.80%,27.70%,61.30%,12.20%,6.40%,33.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,0.00%,0.00%,2.60%,25.20%,11.50%,0.00%,0.00%,0.00%,47.20%,21.60%,57.90%,25.40%,23.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.10%,1.60%,2.10%,5.00%,52.40%,67.20%,44.00%,23.50%,69.30%,11.30%,12.40%,29.90%,16.80%,42.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.70%,42.80%,81.80%,8.40%,0.00%,0.00%,31.50%,8.80%,5.80%,13.80%,3.10%,0.00%,41.00%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.70%,23.30%,7.10%,77.10%,11.70%,15.30%,23.00%,0.00%,0.00%,0.00%,1.60%,0.00%,10.40%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clarke County, Alabama","8,166",409,768,"1,682",124,990,489,51,418,353,"1,757",409,427,289,,14.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,26.70%,15.20%,6.80%,12.00%,47.60%,5.20%,2.20%,94.10%,27.50%,9.10%,72.80%,21.50%,24.10%,26.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,0.00%,12.60%,3.90%,27.40%,5.50%,0.00%,0.00%,6.70%,28.00%,17.00%,66.00%,21.80%,39.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,2.90%,7.90%,3.60%,8.90%,70.00%,17.00%,5.90%,65.80%,41.40%,7.40%,12.50%,20.40%,24.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.30%,39.60%,52.60%,25.30%,0.00%,5.70%,14.90%,0.00%,0.00%,4.80%,0.50%,0.00%,20.60%,4.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.30%,42.30%,20.10%,55.10%,16.10%,13.70%,65.80%,0.00%,0.00%,16.70%,2.30%,0.00%,13.10%,5.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clay County, Alabama","5,389",132,368,"1,619",63,746,295,31,213,235,"1,053",245,173,216,,8.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,26.30%,72.00%,2.40%,9.30%,20.60%,22.40%,3.10%,54.80%,36.20%,28.50%,59.40%,16.30%,42.20%,33.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.30%,0.00%,0.00%,3.70%,0.00%,7.40%,0.00%,0.00%,0.00%,30.20%,23.70%,77.60%,27.70%,20.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.40%,0.00%,0.00%,4.70%,58.70%,46.60%,14.20%,19.40%,48.80%,23.40%,8.60%,6.10%,5.20%,46.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.80%,28.00%,92.90%,0.50%,0.00%,2.70%,26.10%,25.80%,15.00%,0.00%,0.00%,0.00%,1.70%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,34.20%,0.00%,4.60%,81.80%,20.60%,20.90%,56.60%,0.00%,0.00%,17.90%,8.20%,0.00%,23.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cleburne County, Alabama","5,814",200,710,"1,207",237,489,291,16,237,422,"1,047",370,241,347,,8.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.60%,32.50%,7.60%,22.90%,0.00%,8.60%,10.30%,87.50%,34.20%,39.30%,72.40%,19.20%,15.40%,20.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,0.00%,0.00%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,31.50%,12.80%,66.80%,44.80%,22.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.30%,3.50%,7.90%,5.60%,87.30%,64.40%,22.70%,12.50%,51.90%,19.40%,12.30%,10.80%,7.10%,36.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,16.00%,44.00%,75.10%,8.90%,0.80%,9.80%,21.30%,0.00%,8.40%,0.00%,0.60%,2.20%,6.60%,11.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.60%,20.00%,9.40%,60.50%,11.80%,17.20%,45.70%,0.00%,5.50%,9.70%,1.90%,1.10%,26.10%,9.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Coffee County, Alabama","21,764",712,"1,035","2,457",446,"2,645","2,001",206,812,"1,631","5,151","1,546","1,121","2,001",,12.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.40%,43.10%,19.20%,17.40%,4.50%,12.60%,10.30%,49.50%,35.10%,56.30%,65.20%,14.90%,16.30%,35.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,3.80%,0.60%,1.30%,7.60%,4.60%,0.70%,8.30%,3.80%,17.00%,19.40%,58.70%,40.30%,22.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.60%,3.50%,5.30%,7.10%,35.00%,64.20%,16.70%,26.70%,59.40%,16.40%,7.30%,14.70%,12.00%,13.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.90%,35.30%,71.40%,11.80%,2.70%,2.50%,38.80%,15.50%,1.50%,2.30%,1.50%,0.00%,24.30%,11.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,14.30%,3.50%,62.30%,50.20%,16.10%,33.40%,0.00%,0.20%,8.00%,6.60%,11.80%,7.10%,16.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Colbert County, Alabama","23,563",314,"2,049","4,533",634,"2,581","1,477",266,812,"1,334","5,089","2,026","1,483",965,,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.60%,19.70%,17.10%,22.80%,22.20%,11.20%,12.10%,57.90%,45.00%,42.00%,60.80%,13.80%,17.90%,44.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,24.50%,0.00%,1.30%,0.00%,4.30%,6.50%,0.00%,0.50%,28.60%,15.90%,65.10%,45.70%,27.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.70%,13.10%,1.40%,3.20%,33.90%,61.80%,21.90%,26.70%,49.00%,19.30%,16.10%,13.50%,15.00%,26.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.00%,21.00%,75.10%,6.80%,1.30%,4.90%,21.00%,15.40%,3.80%,5.60%,2.30%,0.90%,12.90%,0.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.60%,21.70%,6.40%,66.00%,42.60%,17.80%,38.50%,0.00%,1.70%,4.50%,5.00%,6.70%,8.40%,0.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Conecuh County, Alabama","3,972",143,261,905,119,595,300,72,229,170,574,230,123,251,,15.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,19.40%,10.50%,13.00%,7.50%,0.00%,4.20%,1.00%,45.80%,6.10%,74.70%,61.80%,15.20%,3.30%,23.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,12.80%,4.20%,7.70%,5.40%,1.70%,0.00%,13.00%,0.00%,12.70%,7.10%,29.30%,47.40%,26.80%,17.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,12.60%,16.10%,1.90%,10.90%,59.00%,13.00%,54.20%,78.20%,2.40%,8.00%,37.40%,35.80%,23.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.60%,49.00%,60.50%,3.90%,25.20%,2.90%,19.30%,0.00%,3.10%,0.00%,0.00%,0.00%,6.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,34.50%,23.80%,2.70%,81.30%,62.20%,33.90%,53.70%,0.00%,0.00%,15.90%,0.90%,0.00%,27.60%,36.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Coosa County, Alabama","4,164",89,350,904,76,583,283,29,143,162,828,290,215,212,,14.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,22.80%,28.10%,22.90%,11.30%,0.00%,8.40%,16.30%,100.00%,11.90%,23.50%,52.20%,13.80%,6.50%,35.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.60%,28.30%,59.00%,51.20%,42.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.10%,0.00%,14.00%,9.20%,100.00%,83.90%,5.70%,0.00%,88.10%,11.10%,12.40%,20.00%,9.80%,21.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,14.00%,71.90%,63.10%,20.00%,0.00%,0.00%,9.20%,0.00%,0.00%,0.00%,2.70%,7.20%,21.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.70%,0.00%,0.00%,59.50%,0.00%,7.70%,68.90%,0.00%,0.00%,14.80%,4.50%,0.00%,10.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Covington County, Alabama","14,880",831,"1,010","2,059",499,"1,547","1,426",136,496,"1,176","3,086",990,685,939,,12.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.90%,28.30%,19.80%,14.00%,12.40%,21.90%,12.10%,19.90%,43.80%,42.50%,69.10%,13.70%,32.60%,23.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.50%,1.00%,0.00%,2.70%,0.00%,2.90%,2.00%,0.00%,4.40%,30.90%,18.10%,53.30%,25.70%,40.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.30%,1.30%,5.10%,5.90%,44.10%,57.90%,21.50%,55.10%,47.00%,16.80%,6.90%,25.30%,19.60%,17.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.70%,63.30%,68.50%,9.30%,9.80%,3.70%,16.10%,2.20%,3.80%,4.50%,1.70%,1.70%,14.30%,4.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,6.10%,6.50%,68.00%,33.70%,13.60%,48.20%,22.80%,1.00%,5.40%,4.20%,6.00%,7.90%,13.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Crenshaw County, Alabama","5,615",299,444,920,132,694,366,59,224,491,"1,130",238,240,378,,17.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.10%,42.50%,3.60%,13.60%,12.90%,7.20%,2.20%,50.80%,44.20%,28.10%,59.90%,9.70%,15.00%,16.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,0.00%,5.40%,2.40%,0.00%,0.40%,0.00%,0.00%,0.00%,46.20%,30.50%,60.90%,29.60%,28.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,14.70%,1.40%,8.80%,40.90%,76.50%,20.80%,13.60%,47.30%,13.00%,8.60%,24.80%,12.10%,51.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
