County Name,Label _Grouping,Total,"Total Less than $10,000","Total $10,000 to $14,999","Total 15,000 to $24,999","Total $25,000 to $34,999","Total $35,000 to $49,999","Total $50,000 to $74,999","Total $75,000 to $99,999","Total $100,000 to $149,999","Total $150,000 to $199,999","Total $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED Household income in the past 12 months,PERCENT ALLOCATED Family income in the past 12 months,PERCENT ALLOCATED Nonfamily income in the past 12 months
"Barbour County, Alabama",    Married-couple families,"3,613",1.70%,1.10%,11.20%,11.20%,11.80%,24.70%,12.90%,14.80%,5.30%,5.30%,"64,492",N,,(X),(X),(X)
"Barbour County, Alabama",    Nonfamily households,"3,239",23.60%,12.50%,29.50%,7.90%,9.70%,11.10%,1.60%,2.50%,0.10%,1.30%,"18,073","30,876",,(X),(X),36.80%
"Bibb County, Alabama",    Households,"7,259",11.00%,7.10%,10.50%,9.10%,11.20%,19.40%,15.60%,11.20%,2.80%,2.20%,"51,721","61,655",,35.60%,(X),(X)
"Bibb County, Alabama",    Families,"5,276",9.00%,3.80%,7.00%,9.10%,10.40%,22.70%,18.70%,13.30%,3.30%,2.80%,"62,212","69,170",,(X),35.80%,(X)
"Bibb County, Alabama",    Married-couple families,"3,597",1.30%,0.40%,4.30%,7.20%,10.10%,22.60%,27.20%,18.30%,4.80%,3.80%,"78,180",N,,(X),(X),(X)
"Bibb County, Alabama",    Nonfamily households,"1,983",19.50%,16.20%,19.40%,9.50%,11.30%,10.00%,8.30%,3.70%,1.50%,0.50%,"22,629","39,792",,(X),(X),34.70%
"Blount County, Alabama",    Households,"21,205",10.10%,4.60%,11.00%,11.20%,14.50%,17.90%,10.80%,12.40%,4.90%,2.70%,"48,922","66,360",,38.20%,(X),(X)
"Blount County, Alabama",    Families,"15,035",4.30%,2.90%,8.10%,9.00%,15.20%,21.90%,13.70%,15.00%,6.40%,3.60%,"62,576","77,271",,(X),35.90%,(X)
"Blount County, Alabama",    Married-couple families,"12,053",2.40%,2.00%,6.70%,9.10%,14.80%,21.10%,14.90%,17.00%,7.90%,4.10%,"67,274","84,280",,(X),(X),(X)
"Blount County, Alabama",    Nonfamily households,"6,170",25.00%,9.10%,18.70%,15.90%,13.50%,9.40%,3.20%,3.70%,0.90%,0.70%,"23,349","36,783",,(X),(X),40.50%
"Bullock County, Alabama",    Households,"3,429",18.20%,9.80%,11.90%,10.60%,8.00%,17.40%,7.50%,12.40%,1.30%,2.80%,"33,866","50,664",,54.60%,(X),(X)
"Bullock County, Alabama",    Families,"2,158",12.20%,3.60%,10.70%,8.10%,11.90%,18.40%,11.30%,18.50%,0.90%,4.40%,"53,976","63,808",,(X),55.90%,(X)
"Bullock County, Alabama",    Married-couple families,"1,187",10.80%,4.30%,4.70%,3.60%,4.80%,23.80%,16.20%,24.00%,1.50%,6.30%,"67,813",N,,(X),(X),(X)
"Bullock County, Alabama",    Nonfamily households,"1,271",28.50%,20.30%,14.00%,14.90%,10.10%,7.10%,1.10%,2.00%,2.00%,0.00%,"15,554","26,357",,(X),(X),43.70%
"Butler County, Alabama",    Households,"6,649",7.90%,7.80%,12.80%,10.20%,16.60%,15.70%,9.40%,13.70%,3.30%,2.60%,"44,850","62,399",,43.50%,(X),(X)
"Butler County, Alabama",    Families,"4,574",3.70%,4.90%,10.30%,7.20%,18.40%,17.80%,10.80%,18.70%,4.90%,3.40%,"57,011","74,018",,(X),43.60%,(X)
"Butler County, Alabama",    Married-couple families,"3,297",1.70%,1.60%,7.70%,5.60%,16.10%,19.30%,13.30%,24.20%,5.80%,4.70%,"70,170",N,,(X),(X),(X)
"Butler County, Alabama",    Nonfamily households,"2,075",19.00%,14.20%,17.70%,17.10%,14.20%,10.50%,4.30%,2.30%,0.00%,0.80%,"24,142","34,978",,(X),(X),42.70%
"Calhoun County, Alabama",    Households,"44,572",8.00%,6.10%,10.90%,11.80%,13.20%,19.20%,12.20%,12.90%,3.30%,2.60%,"50,128","65,276",,36.60%,(X),(X)
"Calhoun County, Alabama",    Families,"29,120",3.70%,2.80%,8.80%,11.10%,13.90%,20.70%,13.90%,16.70%,4.80%,3.60%,"59,609","78,103",,(X),37.10%,(X)
"Calhoun County, Alabama",    Married-couple families,"20,680",1.90%,1.10%,4.40%,8.70%,12.70%,21.70%,16.80%,21.70%,6.40%,4.60%,"74,041","91,093",,(X),(X),(X)
"Calhoun County, Alabama",    Nonfamily households,"15,452",16.40%,12.70%,17.40%,12.90%,12.00%,15.30%,7.90%,4.60%,0.60%,0.20%,"27,220","37,925",,(X),(X),34.30%
"Chambers County, Alabama",    Households,"13,582",6.00%,6.50%,13.90%,15.50%,12.80%,18.20%,13.50%,10.30%,1.60%,1.60%,"43,875","56,122",,49.90%,(X),(X)
"Chambers County, Alabama",    Families,"9,121",2.20%,3.20%,9.90%,18.20%,12.40%,20.70%,16.10%,13.70%,2.00%,1.60%,"52,477","63,712",,(X),52.50%,(X)
"Chambers County, Alabama",    Married-couple families,"5,961",0.20%,1.30%,6.10%,12.40%,13.30%,23.30%,20.00%,18.30%,2.60%,2.50%,"66,453",N,,(X),(X),(X)
"Chambers County, Alabama",    Nonfamily households,"4,461",15.90%,13.40%,23.10%,11.70%,13.00%,11.30%,6.40%,3.40%,0.60%,1.20%,"23,675","36,567",,(X),(X),42.40%
"Cherokee County, Alabama",    Households,"10,836",6.50%,5.20%,14.20%,14.90%,14.00%,18.40%,10.60%,9.50%,3.50%,3.30%,"42,509","61,278",,40.90%,(X),(X)
"Cherokee County, Alabama",    Families,"7,385",2.90%,3.30%,10.30%,12.40%,13.80%,21.10%,15.30%,12.60%,4.60%,3.60%,"58,095","71,004",,(X),44.60%,(X)
"Cherokee County, Alabama",    Married-couple families,"6,096",0.70%,3.20%,7.90%,13.10%,13.50%,21.10%,16.10%,14.80%,5.30%,4.30%,"62,740",N,,(X),(X),(X)
"Cherokee County, Alabama",    Nonfamily households,"3,451",16.00%,9.10%,23.10%,20.10%,13.20%,11.90%,1.20%,2.20%,0.60%,2.60%,"25,488","39,393",,(X),(X),32.70%
"Chilton County, Alabama",    Households,"17,140",7.30%,5.00%,12.10%,12.20%,11.90%,20.40%,13.70%,11.00%,4.20%,2.30%,"52,141","66,434",,41.90%,(X),(X)
"Chilton County, Alabama",    Families,"12,047",4.20%,3.20%,10.70%,8.30%,11.80%,23.90%,15.70%,13.50%,5.60%,3.00%,"59,046","73,200",,(X),42.40%,(X)
"Chilton County, Alabama",    Married-couple families,"8,700",2.10%,1.70%,8.50%,6.20%,9.60%,26.40%,18.40%,16.40%,6.50%,4.10%,"69,929","83,406",,(X),(X),(X)
"Chilton County, Alabama",    Nonfamily households,"5,093",15.30%,9.60%,16.40%,21.90%,15.80%,10.00%,5.00%,4.80%,0.40%,0.90%,"26,836","47,102",,(X),(X),39.20%
"Choctaw County, Alabama",    Households,"5,330",8.90%,8.80%,16.10%,12.80%,15.40%,11.00%,11.40%,10.40%,4.40%,0.90%,"36,634","53,709",,30.30%,(X),(X)
"Choctaw County, Alabama",    Families,"3,453",7.80%,6.50%,10.30%,10.20%,13.40%,14.20%,16.20%,14.40%,5.60%,1.30%,"54,429","64,981",,(X),33.10%,(X)
"Choctaw County, Alabama",    Married-couple families,"2,296",2.90%,1.60%,5.40%,9.10%,12.90%,16.50%,23.10%,19.80%,6.90%,1.90%,"76,056",N,,(X),(X),(X)
"Choctaw County, Alabama",    Nonfamily households,"1,877",10.90%,12.90%,27.30%,16.90%,19.10%,6.30%,2.50%,1.70%,2.30%,0.10%,"24,121","32,461",,(X),(X),25.10%
"Clarke County, Alabama",    Households,"9,323",15.40%,6.70%,12.30%,12.80%,12.00%,15.70%,8.30%,8.80%,5.30%,2.80%,"37,345","59,803",,44.00%,(X),(X)
"Clarke County, Alabama",    Families,"5,870",8.70%,4.00%,9.40%,12.00%,12.70%,19.00%,10.80%,13.20%,5.80%,4.40%,"52,955","75,818",,(X),49.00%,(X)
"Clarke County, Alabama",    Married-couple families,"4,010",4.70%,3.50%,7.60%,10.50%,11.10%,19.50%,14.00%,17.70%,7.70%,3.80%,"67,079",N,,(X),(X),(X)
"Clarke County, Alabama",    Nonfamily households,"3,453",27.40%,12.30%,16.40%,14.70%,10.70%,9.20%,4.10%,1.20%,3.90%,0.10%,"21,366","31,232",,(X),(X),35.30%
"Clay County, Alabama",    Households,"5,153",7.80%,8.50%,8.80%,15.50%,15.50%,18.20%,9.00%,12.00%,1.90%,2.80%,"42,678","62,634",,36.20%,(X),(X)
"Clay County, Alabama",    Families,"3,678",4.50%,5.00%,3.30%,16.90%,16.70%,20.60%,10.70%,16.60%,2.40%,3.30%,"53,185","74,543",,(X),34.70%,(X)
"Clay County, Alabama",    Married-couple families,"2,744",0.70%,3.40%,1.50%,12.80%,16.40%,23.50%,13.20%,21.20%,3.00%,4.40%,"62,697",N,,(X),(X),(X)
"Clay County, Alabama",    Nonfamily households,"1,475",18.50%,18.00%,19.90%,13.00%,11.10%,12.30%,4.60%,0.50%,0.60%,1.50%,"19,442","32,420",,(X),(X),38.80%
"Cleburne County, Alabama",    Households,"5,835",11.10%,3.80%,15.60%,9.10%,13.10%,19.60%,12.20%,10.20%,3.70%,1.50%,"46,320","60,254",,30.90%,(X),(X)
"Cleburne County, Alabama",    Families,"3,790",2.70%,0.30%,12.10%,9.20%,12.60%,24.20%,16.80%,15.00%,4.90%,2.30%,"62,025","76,750",,(X),31.00%,(X)
"Cleburne County, Alabama",    Married-couple families,"3,055",0.70%,0.20%,7.80%,9.40%,11.70%,23.50%,19.90%,18.50%,5.50%,2.90%,"71,568",N,,(X),(X),(X)
"Cleburne County, Alabama",    Nonfamily households,"2,045",27.50%,9.70%,22.30%,11.20%,14.00%,9.50%,4.40%,0.90%,0.40%,0.10%,"19,781","27,733",,(X),(X),29.50%
"Coffee County, Alabama",    Households,"19,951",7.30%,5.30%,9.60%,8.10%,14.60%,18.70%,12.80%,14.90%,5.70%,3.10%,"56,799","70,669",,34.70%,(X),(X)
"Coffee County, Alabama",    Families,"13,601",5.20%,2.60%,7.20%,6.60%,13.60%,20.40%,14.00%,18.60%,7.40%,4.40%,"67,245","81,285",,(X),35.80%,(X)
"Coffee County, Alabama",    Married-couple families,"10,024",2.50%,0.70%,4.10%,5.40%,12.50%,19.40%,16.20%,23.50%,10.00%,5.60%,"82,741","94,839",,(X),(X),(X)
"Coffee County, Alabama",    Nonfamily households,"6,350",12.50%,11.10%,15.50%,11.90%,15.50%,15.40%,10.80%,5.20%,1.80%,0.30%,"34,436","45,873",,(X),(X),31.00%
"Colbert County, Alabama",    Households,"21,797",8.80%,6.00%,12.60%,10.60%,13.60%,19.50%,12.70%,11.30%,3.50%,1.40%,"47,962","60,264",,37.20%,(X),(X)
"Colbert County, Alabama",    Families,"14,207",4.60%,3.00%,8.40%,8.90%,15.20%,23.00%,16.60%,14.20%,4.20%,2.00%,"60,619","70,850",,(X),35.90%,(X)
"Colbert County, Alabama",    Married-couple families,"10,547",2.00%,1.40%,6.10%,8.40%,12.00%,26.70%,18.10%,17.40%,5.50%,2.40%,"69,573","79,651",,(X),(X),(X)
"Colbert County, Alabama",    Nonfamily households,"7,590",17.80%,11.70%,20.80%,13.30%,11.30%,12.20%,6.20%,4.30%,2.10%,0.40%,"24,824","38,822",,(X),(X),39.20%
"Conecuh County, Alabama",    Households,"4,585",9.10%,9.40%,10.40%,20.40%,16.50%,13.60%,10.00%,7.00%,1.60%,2.10%,"35,444","49,693",,47.30%,(X),(X)
"Conecuh County, Alabama",    Families,"3,009",4.60%,4.80%,12.50%,14.60%,20.60%,16.40%,12.10%,9.30%,2.20%,3.00%,"45,253","59,542",,(X),47.70%,(X)
"Conecuh County, Alabama",    Married-couple families,"1,885",1.90%,1.10%,4.60%,13.80%,19.20%,20.90%,15.70%,14.50%,3.60%,4.80%,"63,465",N,,(X),(X),(X)
"Conecuh County, Alabama",    Nonfamily households,"1,576",18.10%,18.30%,16.30%,23.20%,7.90%,11.40%,2.20%,2.00%,0.30%,0.20%,"21,984","28,107",,(X),(X),46.60%
"Coosa County, Alabama",    Households,"4,016",3.60%,8.00%,12.00%,15.80%,19.90%,15.00%,10.20%,9.70%,4.10%,1.70%,"43,571","58,927",,37.00%,(X),(X)
"Coosa County, Alabama",    Families,"2,604",3.60%,3.00%,6.40%,12.30%,24.50%,18.00%,11.30%,12.20%,6.30%,2.60%,"50,476","70,815",,(X),46.10%,(X)
"Coosa County, Alabama",    Married-couple families,"1,993",1.60%,1.60%,5.10%,10.60%,26.50%,15.70%,13.50%,15.50%,6.60%,3.40%,"59,432",N,,(X),(X),(X)
"Coosa County, Alabama",    Nonfamily households,"1,412",6.40%,17.40%,19.50%,22.40%,12.50%,8.70%,8.40%,4.50%,0.00%,0.00%,"27,872","35,899",,(X),(X),18.90%
"Covington County, Alabama",    Households,"14,995",9.60%,8.70%,11.20%,13.00%,13.30%,17.00%,11.70%,9.00%,4.30%,2.20%,"42,566","59,947",,36.90%,(X),(X)
"Covington County, Alabama",    Families,"9,708",5.80%,4.40%,6.80%,11.50%,15.10%,18.90%,15.70%,12.30%,6.30%,3.20%,"56,831","71,808",,(X),36.00%,(X)
"Covington County, Alabama",    Married-couple families,"7,146",1.20%,2.70%,4.90%,9.80%,13.50%,20.60%,19.10%,15.60%,8.40%,4.20%,"71,705","84,775",,(X),(X),(X)
"Covington County, Alabama",    Nonfamily households,"5,287",17.20%,16.70%,19.90%,16.60%,10.90%,12.60%,3.60%,1.60%,0.60%,0.40%,"23,243","36,076",,(X),(X),38.00%
"Crenshaw County, Alabama",    Households,"5,011",11.00%,7.60%,11.60%,10.30%,17.10%,14.30%,11.30%,11.10%,3.00%,2.70%,"42,611","64,930",,43.60%,(X),(X)
"Crenshaw County, Alabama",    Families,"3,350",3.60%,1.70%,9.40%,10.90%,18.50%,18.00%,15.50%,15.90%,3.10%,3.30%,"59,896","79,416",,(X),47.20%,(X)
"Crenshaw County, Alabama",    Married-couple families,"2,419",1.20%,0.70%,5.00%,9.30%,16.20%,22.40%,17.90%,20.00%,3.00%,4.10%,"68,523","90,934",,(X),(X),(X)
"Crenshaw County, Alabama",    Nonfamily households,"1,661",26.50%,19.70%,16.30%,10.40%,13.20%,6.70%,1.80%,1.00%,2.80%,1.50%,"16,395","34,568",,(X),(X),35.90%
"Cullman County, Alabama",    Households,"31,733",6.80%,5.60%,11.40%,11.90%,15.60%,19.60%,12.10%,10.80%,4.10%,2.10%,"48,388","62,592",,37.60%,(X),(X)
"Cullman County, Alabama",    Families,"21,920",4.40%,2.90%,6.80%,9.80%,15.30%,22.00%,15.90%,14.50%,5.70%,2.80%,"60,790","73,775",,(X),38.50%,(X)
"Cullman County, Alabama",    Married-couple families,"17,098",1.50%,2.20%,4.40%,8.10%,14.90%,23.00%,18.60%,17.30%,6.80%,3.30%,"69,462",N,,(X),(X),(X)
"Cullman County, Alabama",    Nonfamily households,"9,813",14.00%,11.80%,23.00%,16.10%,15.70%,13.10%,3.70%,1.70%,0.60%,0.20%,"25,506","34,160",,(X),(X),34.20%
"Dale County, Alabama",    Households,"19,405",9.00%,6.10%,14.20%,10.70%,14.10%,17.90%,12.20%,10.60%,3.10%,2.20%,"45,644","59,235",,38.60%,(X),(X)
"Dale County, Alabama",    Families,"12,548",7.70%,2.80%,10.30%,9.30%,13.90%,20.60%,14.20%,13.60%,4.40%,3.20%,"56,776","70,257",,(X),41.60%,(X)
"Dale County, Alabama",    Married-couple families,"8,666",1.90%,0.90%,6.10%,7.70%,11.60%,23.30%,18.90%,18.90%,6.20%,4.60%,"72,519","87,011",,(X),(X),(X)
"Dale County, Alabama",    Nonfamily households,"6,857",13.60%,12.70%,21.40%,13.30%,13.40%,12.10%,8.00%,4.70%,0.50%,0.20%,"26,615","36,756",,(X),(X),31.50%
"Dallas County, Alabama",    Households,"15,409",16.50%,7.40%,15.20%,13.90%,12.50%,15.00%,8.20%,8.20%,2.00%,1.00%,"33,317","46,306",,32.40%,(X),(X)
"Dallas County, Alabama",    Families,"9,116",9.00%,3.80%,13.20%,13.00%,13.40%,19.40%,11.20%,12.70%,2.90%,1.40%,"47,298","58,770",,(X),39.50%,(X)
"Dallas County, Alabama",    Married-couple families,"5,053",2.80%,1.30%,4.80%,8.20%,12.10%,25.50%,18.20%,19.90%,4.70%,2.50%,"70,150","79,430",,(X),(X),(X)
"Dallas County, Alabama",    Nonfamily households,"6,293",28.40%,12.70%,19.10%,13.80%,11.90%,8.50%,4.10%,0.80%,0.30%,0.40%,"18,816","26,901",,(X),(X),20.40%
"DeKalb County, Alabama",    Households,"26,365",8.00%,6.60%,13.50%,13.40%,15.10%,18.80%,10.60%,9.30%,2.30%,2.20%,"42,267","58,198",,39.00%,(X),(X)
"DeKalb County, Alabama",    Families,"19,318",4.90%,2.50%,11.60%,13.10%,16.10%,21.50%,13.00%,11.60%,3.10%,2.60%,"51,363","66,453",,(X),40.40%,(X)
"DeKalb County, Alabama",    Married-couple families,"15,153",1.70%,2.00%,8.80%,12.10%,16.20%,23.00%,15.10%,14.20%,3.50%,3.40%,"59,462","74,440",,(X),(X),(X)
"DeKalb County, Alabama",    Nonfamily households,"7,047",17.90%,18.10%,20.60%,14.50%,12.50%,9.70%,3.60%,2.00%,0.10%,0.90%,"21,406","33,224",,(X),(X),34.80%
"Elmore County, Alabama",    Households,"29,794",5.00%,3.50%,9.00%,9.90%,12.00%,20.00%,14.30%,16.10%,5.90%,4.40%,"62,324","78,932",,33.90%,(X),(X)
"Elmore County, Alabama",    Families,"21,745",3.30%,2.10%,5.10%,9.30%,9.90%,20.80%,16.00%,20.60%,7.50%,5.30%,"74,234","89,738",,(X),34.80%,(X)
"Elmore County, Alabama",    Married-couple families,"16,351",1.30%,0.70%,2.60%,6.60%,7.50%,22.00%,17.60%,25.70%,8.90%,7.00%,"89,075","103,279",,(X),(X),(X)
"Elmore County, Alabama",    Nonfamily households,"8,049",11.40%,7.80%,18.40%,11.60%,18.00%,17.60%,8.00%,4.50%,1.10%,1.60%,"35,766","47,596",,(X),(X),30.20%
"Escambia County, Alabama",    Households,"12,931",15.30%,7.40%,12.70%,13.90%,15.30%,17.00%,7.70%,6.70%,2.60%,1.40%,"35,558","48,165",,38.80%,(X),(X)
"Escambia County, Alabama",    Families,"7,780",7.80%,4.70%,9.50%,15.00%,15.50%,20.40%,11.40%,9.90%,4.00%,1.80%,"47,336","60,486",,(X),41.40%,(X)
"Escambia County, Alabama",    Married-couple families,"5,574",1.70%,1.90%,7.40%,14.70%,15.20%,24.30%,14.20%,12.80%,5.60%,2.20%,"58,117",N,,(X),(X),(X)
"Escambia County, Alabama",    Nonfamily households,"5,151",26.90%,11.80%,18.00%,13.80%,13.60%,11.50%,2.40%,0.90%,0.60%,0.50%,"21,478","28,222",,(X),(X),34.40%
"Etowah County, Alabama",    Households,"38,765",8.00%,6.20%,12.90%,12.40%,15.10%,16.80%,11.50%,11.50%,3.40%,2.10%,"44,934","61,229",,41.70%,(X),(X)
"Etowah County, Alabama",    Families,"25,383",4.70%,3.60%,8.70%,10.20%,13.50%,20.10%,15.70%,15.90%,4.60%,2.80%,"59,713","73,317",,(X),42.10%,(X)
"Etowah County, Alabama",    Married-couple families,"18,082",1.30%,1.70%,5.20%,6.50%,13.70%,23.70%,17.70%,20.30%,6.10%,3.80%,"71,992","85,820",,(X),(X),(X)
"Etowah County, Alabama",    Nonfamily households,"13,382",14.80%,11.40%,22.40%,16.80%,16.80%,9.70%,3.80%,2.70%,1.00%,0.40%,"25,728","36,183",,(X),(X),40.20%
"Fayette County, Alabama",    Households,"6,805",8.80%,9.20%,14.50%,12.00%,11.80%,16.60%,15.50%,7.70%,2.20%,1.60%,"41,469","55,489",,39.00%,(X),(X)
"Fayette County, Alabama",    Families,"4,728",4.60%,6.00%,11.50%,11.00%,11.60%,19.50%,20.20%,10.70%,2.80%,2.20%,"54,654","65,127",,(X),37.90%,(X)
"Fayette County, Alabama",    Married-couple families,"3,747",2.40%,4.20%,8.50%,9.90%,10.10%,21.50%,24.40%,12.80%,3.50%,2.70%,"64,867",N,,(X),(X),(X)
"Fayette County, Alabama",    Nonfamily households,"2,077",18.90%,16.60%,24.20%,14.30%,11.00%,8.20%,4.80%,0.90%,0.80%,0.40%,"20,279","32,347",,(X),(X),40.50%
"Franklin County, Alabama",    Households,"11,017",8.00%,5.60%,17.00%,10.60%,16.30%,16.20%,14.00%,7.10%,3.90%,1.30%,"41,174","55,229",,34.40%,(X),(X)
"Franklin County, Alabama",    Families,"7,570",6.60%,2.30%,15.00%,10.40%,16.00%,17.40%,15.50%,9.70%,5.40%,1.80%,"49,564","63,645",,(X),36.90%,(X)
"Franklin County, Alabama",    Married-couple families,"5,406",4.30%,0.50%,12.30%,8.50%,14.50%,18.90%,20.10%,11.60%,7.20%,2.00%,"63,209",N,,(X),(X),(X)
"Franklin County, Alabama",    Nonfamily households,"3,447",11.70%,14.00%,22.90%,12.30%,17.40%,12.20%,8.40%,0.40%,0.30%,0.30%,"25,836","33,522",,(X),(X),27.00%
"Geneva County, Alabama",    Households,"10,572",8.70%,7.90%,15.50%,9.40%,16.50%,15.10%,12.00%,10.90%,2.70%,1.40%,"41,569","54,632",,35.60%,(X),(X)
"Geneva County, Alabama",    Families,"7,214",4.90%,2.70%,14.70%,8.90%,18.20%,16.20%,13.50%,15.00%,3.80%,2.10%,"50,579","64,775",,(X),33.40%,(X)
"Geneva County, Alabama",    Married-couple families,"5,817",2.10%,1.30%,10.90%,7.50%,19.90%,18.00%,15.00%,18.00%,4.80%,2.50%,"57,981",N,,(X),(X),(X)
"Geneva County, Alabama",    Nonfamily households,"3,358",18.00%,20.10%,19.00%,8.50%,12.00%,11.70%,8.80%,1.80%,0.10%,0.00%,"20,568","31,346",,(X),(X),38.10%
"Greene County, Alabama",    Households,"3,178",19.00%,9.70%,17.90%,16.40%,11.70%,11.40%,7.10%,4.00%,1.70%,1.10%,"26,688","38,224",,46.90%,(X),(X)
"Greene County, Alabama",    Families,"1,565",8.00%,8.70%,19.20%,9.70%,14.80%,13.00%,12.70%,8.20%,3.50%,2.20%,"41,372","53,339",,(X),52.70%,(X)
"Greene County, Alabama",    Married-couple families,"1,010",6.10%,1.20%,17.00%,6.70%,16.20%,14.00%,17.30%,12.60%,5.40%,3.40%,"53,125",N,,(X),(X),(X)
"Greene County, Alabama",    Nonfamily households,"1,613",30.40%,10.60%,16.70%,22.60%,8.70%,9.30%,1.70%,0.00%,0.00%,0.00%,"17,791","23,252",,(X),(X),40.80%
"Hale County, Alabama",    Households,"5,490",15.60%,11.70%,14.10%,11.30%,10.60%,13.80%,8.90%,10.60%,2.50%,0.90%,"30,793","50,342",,50.30%,(X),(X)
"Hale County, Alabama",    Families,"3,336",6.50%,7.20%,11.10%,13.10%,10.30%,19.00%,10.90%,16.40%,4.10%,1.50%,"54,792","66,555",,(X),56.10%,(X)
"Hale County, Alabama",    Married-couple families,"2,186",2.00%,2.20%,11.80%,5.30%,7.70%,24.10%,15.10%,23.60%,6.20%,2.10%,"73,068",N,,(X),(X),(X)
"Hale County, Alabama",    Nonfamily households,"2,154",29.70%,18.60%,18.70%,11.40%,10.30%,4.90%,4.80%,1.70%,0.00%,0.00%,"16,173","24,210",,(X),(X),41.40%
"Henry County, Alabama",    Households,"6,556",7.70%,6.20%,13.40%,10.50%,10.80%,19.00%,13.30%,12.60%,3.70%,2.90%,"51,715","64,672",,41.10%,(X),(X)
"Henry County, Alabama",    Families,"4,495",5.20%,3.40%,8.80%,8.40%,11.70%,20.30%,15.60%,18.00%,4.50%,4.20%,"62,757","77,620",,(X),41.40%,(X)
"Henry County, Alabama",    Married-couple families,"3,541",1.80%,1.30%,6.10%,7.70%,11.20%,21.30%,18.40%,21.20%,5.70%,5.30%,"76,492",N,,(X),(X),(X)
"Henry County, Alabama",    Nonfamily households,"2,061",15.20%,12.60%,22.80%,14.50%,9.00%,16.20%,7.90%,1.50%,0.30%,0.00%,"24,456","34,495",,(X),(X),39.90%
"Houston County, Alabama",    Households,"39,784",7.80%,6.10%,11.80%,10.70%,14.30%,16.80%,11.60%,12.30%,4.50%,4.10%,"49,069","69,728",,45.40%,(X),(X)
"Houston County, Alabama",    Families,"26,249",4.50%,3.10%,8.90%,8.50%,14.00%,18.60%,14.20%,16.10%,6.30%,5.60%,"64,557","84,316",,(X),45.20%,(X)
"Houston County, Alabama",    Married-couple families,"18,649",1.00%,1.40%,4.70%,6.30%,12.70%,20.10%,17.10%,20.50%,8.60%,7.60%,"79,985","101,223",,(X),(X),(X)
"Houston County, Alabama",    Nonfamily households,"13,535",15.20%,12.40%,19.00%,15.10%,14.30%,11.90%,6.20%,3.90%,0.90%,1.10%,"26,801","38,982",,(X),(X),43.60%
"Jackson County, Alabama",    Households,"20,367",8.20%,7.90%,12.30%,13.00%,14.70%,18.80%,9.30%,11.70%,2.00%,2.00%,"42,578","57,723",,35.50%,(X),(X)
"Jackson County, Alabama",    Families,"14,371",5.10%,4.80%,7.80%,13.00%,15.90%,20.70%,11.70%,15.70%,2.80%,2.60%,"54,489","67,667",,(X),36.10%,(X)
"Jackson County, Alabama",    Married-couple families,"10,958",3.60%,2.40%,6.10%,12.50%,16.30%,21.20%,13.60%,17.30%,3.60%,3.30%,"61,245",N,,(X),(X),(X)
