County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Mobile County, Alabama","174,686","1,742","12,218","23,280","4,629","20,173","9,005","2,903","7,960","16,437","47,349","13,756","10,348","4,886",,8.80%
"Montgomery County, Alabama","99,715",466,"4,309","11,244","1,990","12,231","2,926","1,555","6,263","10,913","21,202","11,011","4,695","10,910",,9.90%
"Morgan County, Alabama","50,762",155,"5,110","9,165","1,047","6,707","2,523",515,"1,958","4,719","9,679","3,618","2,744","2,822",,7.60%
"St. Clair County, Alabama","37,154",714,"4,221","5,122","2,286","4,617","2,451",352,"2,471","2,771","6,701","2,790","1,437","1,221",,7.90%
"Shelby County, Alabama","102,381","1,008","6,062","8,467","3,677","11,811","6,704","2,183","10,766","14,113","20,882","7,630","5,245","3,833",,12.20%
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.50%
"Tuscaloosa County, Alabama","86,538",899,"4,906","14,531","1,669","9,275","3,988","1,807","3,622","5,862","25,683","7,008","4,108","3,180",,14.00%
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.00%
"Anchorage Municipality, Alaska","150,525","5,444","9,011","2,877","4,106","17,301","10,823","3,997","6,580","17,448","35,103","16,497","7,318","14,020",,10.80%
"Fairbanks North Star Borough, Alaska","48,100","1,616","4,383",537,652,"6,798","3,079",530,"1,333","3,199","11,916","4,009","2,770","7,278",,10.00%
"Matanuska-Susitna Borough, Alaska","43,000","2,074","5,313","1,182",689,"5,178","2,831","1,164","1,316","3,585","8,474","4,215","2,370","4,609",,12.00%
"Apache County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.90%
"Cochise County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.00%
"Coconino County, Arizona","65,735",735,"2,474","4,777",293,"7,354","3,564",612,"3,103","4,114","19,324","12,210","2,245","4,930",,12.30%
"Maricopa County, Arizona","1,934,880","14,024","126,246","147,423","50,942","241,809","102,798","40,300","192,496","252,808","399,520","203,880","90,730","71,904",,14.60%
"Mohave County, Arizona","71,494",494,"4,189","3,803","1,584","11,315","5,105","1,102","3,477","5,739","13,593","12,232","4,615","4,246",,12.20%
"Navajo County, Arizona","32,075","1,104","2,897","1,248",261,"4,709","2,613",801,"1,301","1,239","7,890","3,706","1,166","3,140",,13.60%
"Pima County, Arizona","429,496","5,429","29,907","25,295","7,623","52,872","15,897","6,372","22,700","55,722","105,016","51,495","22,662","28,506",,10.00%
"Pinal County, Arizona","135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",,19.80%
"Yavapai County, Arizona","84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",,21.80%
"Yuma County, Arizona","72,053","8,263","5,011","2,781","1,395","7,668","2,479",703,"3,063","6,403","13,826","8,882","3,806","7,773",,11.20%
"Benton County, Arkansas","118,078","1,912","8,340","17,641","3,022","28,539","6,834","1,013","6,076","11,161","20,311","6,665","4,757","1,807",,9.60%
"Craighead County, Arkansas","48,402","1,005","3,390","6,954","1,917","6,006","1,787","1,073","1,960","3,065","14,544","4,200","1,582",919,,6.00%
"Faulkner County, Arkansas","55,773","1,316","3,688","5,258","1,606","8,167","3,159","1,228","2,919","4,819","15,098","4,748","2,379","1,388",,13.00%
"Garland County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
"Jefferson County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.80%
"Lonoke County, Arkansas","31,212",576,"1,629","3,505",979,"3,809","1,922",938,"2,010","1,970","6,968","2,214","1,414","3,278",,8.10%
"Pulaski County, Arkansas","180,595","1,100","8,492","14,756","4,316","23,542","8,765","5,282","12,270","15,802","47,454","15,579","9,394","13,843",,7.90%
"Saline County, Arkansas","56,190",243,"4,145","3,715",763,"8,343","2,493","1,212","3,405","4,278","15,969","4,950","3,543","3,131",,8.60%
"Sebastian County, Arkansas","53,220",939,"1,930","10,473","2,028","7,016","2,557",999,"2,047","3,069","14,075","4,826","2,453",808,,12.10%
"Washington County, Arkansas","106,239","1,757","6,703","16,526","3,302","13,049","4,501","1,497","5,180","10,882","27,543","7,351","5,335","2,613",,8.70%
"White County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.80%
"Alameda County, California","836,462","3,366","45,288","80,754","22,451","73,840","46,887","29,816","50,013","156,367","179,168","73,407","44,993","30,112",,11.20%
"Butte County, California","92,602","4,174","5,341","5,543","1,277","12,071","2,192","2,172","4,783","8,877","25,242","14,564","3,008","3,358",,12.80%
"Contra Costa County, California","536,149","5,028","40,044","35,400","12,554","56,487","29,618","13,612","45,884","85,756","114,253","48,447","27,617","21,449",,13.40%
"El Dorado County, California","79,944",875,"6,215","6,643","1,182","10,098","4,133","1,714","5,416","10,472","15,483","8,559","3,819","5,335",,14.70%
"Fresno County, California","397,209","42,468","21,404","30,628","13,517","43,395","17,011","5,656","18,412","29,367","95,502","35,608","17,697","26,544",,9.70%
"Humboldt County, California","59,202","2,545","4,281","2,317","1,478","9,322","1,940",634,"2,386","4,423","16,634","6,257","2,353","4,632",,9.20%
"Imperial County, California","59,958","5,167","4,076","1,629","1,050","6,957","4,157",481,"1,541","3,823","17,210","5,179","2,571","6,117",,15.30%
"Kern County, California","344,626","59,577","22,244","17,550","11,229","35,869","17,623","3,784","12,200","27,787","66,127","29,643","18,139","22,854",,11.80%
"Kings County, California","52,823","7,586","1,854","3,293",908,"4,645","1,899",329,985,"3,426","12,814","4,723","2,833","7,528",,13.90%
"Lake County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,33.90%
"Los Angeles County, California","4,831,360","26,458","279,541","471,726","164,029","509,564","271,060","206,647","300,484","629,848","993,951","540,940","288,947","148,165",,13.10%
"Madera County, California","58,279","11,076","2,656","7,026","1,201","5,088","2,230",624,"1,429","4,031","11,193","5,686","2,419","3,620",,9.30%
"Marin County, California","130,101",944,"5,781","6,118","4,279","13,600","2,569","5,394","14,174","27,296","25,880","10,565","8,573","4,928",,10.70%
"Mendocino County, California","36,181","1,842","4,167","2,667","1,515","4,343",678,865,"1,137","2,943","8,105","3,953","2,090","1,876",,12.20%
"Merced County, California","98,425","14,969","7,205","11,329","2,451","10,402","5,528",456,"2,727","7,054","21,594","7,424","3,974","3,312",,8.10%
"Monterey County, California","182,151","35,300","11,354","8,181","6,314","16,367","5,733","1,326","5,889","16,055","35,537","22,612","7,724","9,759",,10.30%
"Napa County, California","70,701","5,124","4,780","8,968","2,489","6,035","1,907",570,"3,281","5,108","15,524","10,671","3,441","2,803",,17.50%
"Nevada County, California","41,169",508,"3,368","3,737",525,"4,497","1,571",987,"1,844","4,431","8,461","5,300","2,466","3,474",,12.80%
"Orange County, California","1,559,173","8,962","92,825","209,316","54,080","155,444","53,764","32,910","132,057","220,638","298,457","173,061","85,194","42,465",,13.30%
"Placer County, California","166,681","1,632","11,626","9,779","4,291","20,366","7,862","3,953","12,443","20,224","38,372","15,840","8,913","11,380",,10.20%
"Riverside County, California","981,103","17,598","88,831","84,376","27,643","132,484","55,588","13,108","51,390","100,069","201,398","107,826","55,058","45,734",,12.30%
"Sacramento County, California","671,358","6,332","42,028","38,567","17,500","75,557","37,743","12,053","48,509","81,411","148,749","61,914","30,115","70,880",,11.00%
"San Bernardino County, California","877,027","4,812","63,605","81,649","29,403","115,497","78,016","11,375","42,352","83,229","193,660","82,513","46,122","44,794",,11.30%
"San Diego County, California","1,552,867","13,647","85,725","140,724","43,902","164,890","58,830","36,522","91,145","233,101","329,615","191,470","86,667","76,629",,11.80%
"San Francisco County, California","506,320","1,727","16,573","27,967","8,187","50,631","19,160","32,749","46,160","115,217","89,027","58,735","22,801","17,386",,14.50%
"San Joaquin County, California","292,491","14,603","24,043","29,287","10,317","36,219","23,947","4,828","14,609","27,615","57,727","23,579","13,076","12,641",,9.40%
"San Luis Obispo County, California","128,903","4,059","9,683","8,955","2,099","15,230","6,083","1,527","5,732","12,658","32,583","17,127","5,686","7,481",,10.30%
"San Mateo County, California","400,912","2,408","20,433","31,396","9,025","41,021","23,276","16,347","25,508","76,032","80,094","41,889","19,458","14,025",,12.10%
"Santa Barbara County, California","214,133","20,268","11,591","17,583","4,716","19,700","6,296","4,963","9,660","24,041","49,254","26,328","11,774","7,959",,10.00%
"Santa Clara County, California","967,374","4,906","49,912","171,575","17,620","84,976","27,376","46,197","45,740","191,319","179,670","83,740","37,819","26,524",,12.30%
"Santa Cruz County, California","132,081","8,503","8,794","10,467","3,677","12,775","4,062","2,610","5,169","14,561","30,944","19,128","7,674","3,717",,17.20%
"Shasta County, California","72,329","2,009","5,662","3,725","1,192","9,931","2,177","1,955","4,044","5,650","18,804","7,029","4,805","5,346",,10.90%
"Solano County, California","193,706","3,868","15,723","16,817","5,673","23,444","11,995","3,181","9,051","22,107","43,270","15,583","8,887","14,107",,12.40%
"Sonoma County, California","250,066","9,586","22,821","23,628","7,516","28,466","9,806","5,044","15,731","27,215","52,389","27,877","11,517","8,470",,12.70%
"Stanislaus County, California","215,825","12,922","14,480","26,154","10,863","30,317","13,645","2,559","7,663","15,038","46,256","17,626","10,493","7,809",,8.60%
"Sutter County, California","36,740","4,434","3,181","2,626",877,"4,365","2,594",354,"1,346","2,337","8,132","3,119",966,"2,409",,8.20%
"Tulare County, California","170,090","33,095","7,356","13,036","4,689","19,712","7,789","1,542","5,116","12,663","34,234","13,611","7,475","9,772",,10.10%
"Ventura County, California","405,614","22,923","24,728","44,002","10,636","45,622","14,894","10,652","29,333","47,766","76,684","38,903","21,831","17,640",,10.20%
"Yolo County, California","97,488","3,625","4,783","4,548","1,953","9,946","4,477","1,497","3,903","11,405","27,145","11,017","4,614","8,575",,9.30%
"Yuba County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.50%
"Adams County, Colorado","246,554","5,126","30,032","19,964","10,812","27,919","17,027","7,174","13,290","25,691","43,925","23,307","12,880","9,407",,11.00%
"Arapahoe County, Colorado","332,194","4,377","21,120","19,275","7,964","40,438","19,809","12,938","31,767","49,420","67,601","29,430","15,127","12,928",,12.60%
"Boulder County, Colorado","172,041","1,754","7,511","16,622","3,846","17,726","3,856","5,997","7,400","34,622","42,322","18,351","8,583","3,451",,13.30%
"Broomfield County, Colorado","36,439",663,"2,305","3,842",931,"3,677","1,152","1,924","2,108","7,592","6,646","2,973","1,524","1,102",,13.50%
"Denver County, Colorado","372,635","5,105","31,056","20,671","10,599","35,040","16,013","13,035","29,016","64,863","71,900","42,319","18,638","14,380",,11.40%
"Douglas County, Colorado","172,340","2,789","10,516","10,621","4,733","19,897","6,664","8,773","19,327","28,441","32,047","14,839","6,998","6,695",,12.40%
"El Paso County, Colorado","308,529","2,383","20,746","17,663","5,062","39,266","13,872","7,691","21,370","41,440","67,977","34,515","17,498","19,046",,13.30%
"Jefferson County, Colorado","307,206","5,685","23,255","24,498","8,335","34,519","11,864","10,791","22,518","48,333","60,204","27,682","16,115","13,407",,9.80%
"Larimer County, Colorado","174,576","4,205","12,999","18,257","3,685","19,056","3,835","3,821","9,051","20,089","46,304","18,273","8,015","6,986",,14.20%
"Mesa County, Colorado","69,184","4,525","5,062","2,947","1,798","9,727","3,407","1,228","3,821","6,834","16,677","6,471","3,751","2,936",,11.90%
"Pueblo County, Colorado","65,558",868,"5,408","5,538","1,498","8,783","3,242","1,335","2,588","6,082","17,331","6,051","2,864","3,970",,6.40%
"Weld County, Colorado","139,270","11,026","11,832","14,920","4,208","15,360","8,065","2,013","7,454","13,018","27,261","11,175","7,708","5,230",,23.60%
"Fairfield County, Connecticut","472,541","1,230","32,647","36,494","13,647","48,596","16,876","13,077","56,905","74,382","108,393","36,241","22,153","11,900",,10.50%
"Hartford County, Connecticut","447,101",779,"21,207","48,782","11,190","46,390","19,086","10,139","53,005","49,105","120,701","28,620","17,201","20,896",,10.20%
"Litchfield County, Connecticut","96,620",981,"7,233","13,357","2,236","10,925","4,135","2,265","6,246","8,268","24,494","7,610","5,112","3,758",,8.40%
"Middlesex County, Connecticut","87,621",381,"5,680","11,041","2,505","7,577","3,776","2,418","6,573","9,331","23,191","7,576","4,403","3,169",,10.50%
"New Haven County, Connecticut","427,933",759,"24,749","45,742","11,792","50,251","17,585","9,469","27,994","43,271","127,298","31,964","20,382","16,677",,10.50%
"New London County, Connecticut","131,346",713,"6,839","14,987","2,050","16,784","6,027","2,650","7,027","12,351","32,086","18,641","3,568","7,623",,9.60%
"Tolland County, Connecticut","83,087","1,023","5,595","10,603","1,535","8,069","3,127","1,089","7,277","7,399","22,351","8,687","3,514","2,818",,13.30%
"Windham County, Connecticut","60,849","1,283","4,277","6,991","1,509","8,451","2,684",955,"2,799","4,109","16,701","6,655","2,172","2,263",,7.80%
"Kent County, Delaware","77,287",663,"4,846","6,156","1,660","11,187","2,423",842,"4,187","6,411","17,546","9,852","3,549","7,965",,9.80%
"New Castle County, Delaware","278,333","1,609","14,238","20,612","3,625","31,585","12,388","4,720","35,631","31,891","73,151","26,879","11,504","10,500",,13.30%
"Sussex County, Delaware","91,896","2,834","9,774","9,496","2,077","12,057","3,104","1,197","3,921","7,022","21,075","8,641","5,283","5,415",,11.60%
"District of Columbia, District of Columbia","361,179",195,"9,342","5,025","1,932","18,086","9,754","14,995","22,532","83,089","70,276","35,208","31,896","58,849",,14.00%
"Alachua County, Florida","121,517","2,321","4,113","3,648","1,411","11,846","4,131","2,353","6,775","12,737","48,243","13,431","6,111","4,397",,18.00%
"Bay County, Florida","82,156","1,128","5,895","5,167",795,"12,366","3,489","1,887","4,390","9,012","16,988","11,099","2,974","6,966",,15.60%
"Brevard County, Florida","241,881","1,734","14,811","23,135","4,722","32,561","9,928","4,166","10,700","33,393","53,964","27,101","13,225","12,441",,16.70%
"Broward County, Florida","942,614","3,776","61,573","44,318","31,793","129,294","55,380","23,085","68,595","133,002","192,476","109,793","51,951","37,578",,10.20%
"Charlotte County, Florida","61,895",277,"6,057","2,637","1,233","13,532","3,121","1,222","4,216","7,011","12,769","5,712","2,849","1,259",,10.80%
"Citrus County, Florida","44,459",957,"3,743","2,058",734,"5,511","3,557",373,"2,472","5,014","12,056","4,848","2,200",936,,11.00%
"Clay County, Florida","87,895",280,"8,094","5,857","3,945","11,104","6,191","1,755","6,451","10,124","17,793","6,212","4,518","5,571",,13.40%
"Collier County, Florida","151,828","5,898","16,411","7,023","3,390","19,889","7,046","2,616","11,473","19,207","21,543","24,260","9,519","3,553",,10.00%
"Columbia County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.30%
"Duval County, Florida","433,627","2,490","22,724","28,996","12,007","53,268","28,445","7,525","50,783","52,501","90,397","44,835","20,497","19,159",,18.80%
"Escambia County, Florida","136,849","1,495","6,983","5,314","2,993","22,518","6,538","1,799","12,391","16,343","28,084","16,731","7,874","7,786",,10.10%
"Flagler County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.30%
"Hernando County, Florida","63,558","1,056","4,129","3,380","1,673","9,958","3,242",791,"4,671","6,343","12,731","7,823","4,285","3,476",,12.90%
"Highlands County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.10%
"Hillsborough County, Florida","637,791","8,969","46,498","30,513","19,014","70,929","30,974","14,913","67,140","92,336","141,646","62,531","26,917","25,411",,11.60%
"Indian River County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.60%
"Lake County, Florida","129,511","1,474","9,361","7,753","2,724","15,653","5,308","1,298","9,889","13,841","29,065","21,783","4,746","6,616",,12.10%
"Lee County, Florida","277,323","2,496","31,198","11,454","5,469","45,736","9,959","5,171","20,866","36,685","52,707","33,454","13,908","8,220",,11.60%
"Leon County, Florida","142,062",432,"4,247","1,828","2,516","17,474","5,059","2,053","8,910","15,955","39,683","19,359","6,520","18,026",,24.00%
"Manatee County, Florida","148,415","1,283","13,676","10,821","4,291","21,196","5,318","1,544","9,429","17,108","29,936","19,731","8,142","5,940",,14.80%
"Marion County, Florida","111,085","2,900","7,522","7,431","2,874","18,650","4,930","1,603","6,864","10,600","27,039","11,517","4,897","4,258",,14.10%
"Martin County, Florida","65,588",887,"6,965","3,367","1,500","6,863","2,515",938,"5,241","10,481","11,733","9,735","3,143","2,220",,18.40%
"Miami-Dade County, Florida","1,261,863","9,989","98,439","54,408","46,992","149,400","94,244","26,607","97,510","157,942","249,083","151,944","82,364","42,941",,10.90%
"Monroe County, Florida","40,778","1,113","2,942","1,325","1,020","5,068","2,491",624,"2,757","2,920","6,077","9,725","1,519","3,197",,12.20%
"Nassau County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.20%
"Okaloosa County, Florida","86,756",289,"5,683","3,488","1,520","11,577","3,463",732,"5,043","11,158","14,483","14,203","6,205","8,912",,12.70%
"Orange County, Florida","655,717","2,524","39,921","30,037","18,985","80,260","32,345","15,811","47,463","90,004","123,289","128,500","27,716","18,862",,13.50%
"Osceola County, Florida","143,825",311,"9,975","4,942","3,734","22,090","7,301",691,"6,813","17,399","22,798","36,303","4,896","6,572",,14.70%
"Palm Beach County, Florida","653,531","7,322","50,530","26,075","20,397","86,919","25,452","12,471","57,290","96,015","134,580","79,343","35,262","21,875",,12.30%
"Pasco County, Florida","203,112","1,427","15,593","10,309","6,030","27,812","10,156","4,945","16,088","25,437","47,450","19,760","9,818","8,287",,12.40%
"Pinellas County, Florida","445,914","1,959","26,502","31,107","10,582","61,450","16,165","8,627","43,517","65,152","92,828","49,461","24,413","14,151",,12.10%
"Polk County, Florida","258,761","5,599","18,140","13,944","9,293","38,123","14,741","3,512","16,036","29,700","51,051","36,589","12,628","9,405",,16.00%
"Putnam County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.60%
"St. Johns County, Florida","101,656",555,"5,635","7,786","2,130","13,466","3,958","1,308","12,559","11,344","21,781","11,907","4,069","5,158",,18.40%
"St. Lucie County, Florida","120,654","1,595","10,518","4,014","2,747","17,130","3,521","1,944","5,526","18,157","27,814","14,893","7,976","4,819",,15.00%
"Santa Rosa County, Florida","72,424",676,"6,888","4,045",897,"7,762","4,138","1,567","5,580","7,736","13,485","7,478","6,037","6,135",,10.50%
"Sarasota County, Florida","158,795",474,"11,034","11,032","3,437","19,240","5,420","2,413","13,765","22,405","36,476","19,716","8,764","4,619",,11.40%
"Seminole County, Florida","218,095",462,"11,998","11,372","4,983","25,440","9,627","6,168","23,973","35,009","50,940","22,838","8,850","6,435",,21.20%
"Sumter County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.10%
"Volusia County, Florida","209,562","1,302","16,068","13,143","4,513","27,721","10,894","4,458","15,112","23,894","44,849","26,223","12,250","9,135",,14.50%
"Barrow County, Georgia","32,761",330,"2,006","3,255","1,462","7,021","1,752",676,"1,689","2,863","5,999","3,204","1,797",707,,13.10%
"Bartow County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.80%
"Bibb County, Georgia","61,564",366,"2,836","5,522","1,066","7,340","3,297",967,"5,069","5,811","18,177","5,515","2,478","3,120",,11.30%
"Bulloch County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.20%
"Carroll County, Georgia","49,881",744,"4,060","7,022","2,039","5,946","2,727","1,083","1,276","5,987","10,626","5,163","1,837","1,371",,9.50%
"Catoosa County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.50%
"Chatham County, Georgia","133,525",426,"7,380","10,747","2,255","18,706","9,600","1,658","7,161","13,712","31,423","16,639","7,171","6,647",,9.20%
"Cherokee County, Georgia","120,239","1,149","8,932","12,993","2,349","16,070","4,543","5,532","8,962","18,899","21,784","9,088","5,704","4,234",,9.80%
"Clarke County, Georgia","57,750",716,"2,816","2,773","1,033","6,365","1,560",997,"2,037","4,998","17,812","12,109","2,735","1,799",,14.20%
"Clayton County, Georgia","121,425",559,"8,487","8,900","4,146","14,836","15,766","1,989","4,983","11,933","24,263","12,552","6,540","6,471",,15.40%
"Cobb County, Georgia","383,927",734,"29,860","27,833","13,086","44,136","19,414","15,441","32,199","60,364","75,320","32,562","19,897","13,081",,10.70%
"Columbia County, Georgia","62,303",297,"4,452","6,138","1,363","7,386","3,018","1,760","3,634","6,599","17,293","3,302","3,459","3,602",,14.70%
"Coweta County, Georgia","65,803",194,"3,720","8,289","3,176","5,350","7,461",980,"2,676","5,918","15,059","5,480","4,216","3,284",,14.20%
"DeKalb County, Georgia","368,437",299,"17,516","21,144","7,784","39,635","24,691","14,897","24,590","58,068","84,330","38,742","17,409","19,332",,11.30%
"Dougherty County, Georgia","33,824",330,996,"3,676",214,"3,961","1,258",302,"1,543","2,092","9,978","3,611","2,386","3,477",,12.90%
"Douglas County, Georgia","65,067",810,"4,940","5,776","2,077","8,329","6,032","1,975","2,697","7,040","13,673","5,553","2,920","3,245",,13.50%
"Fayette County, Georgia","52,346",133,"2,002","5,200","2,418","4,580","6,626","2,036","3,574","5,724","10,459","3,707","3,527","2,360",,13.20%
"Floyd County, Georgia","39,913",422,"2,265","7,478",703,"3,708","1,745",312,"1,627","2,785","9,826","3,998","3,550","1,494",,8.60%
"Forsyth County, Georgia","104,129",588,"7,016","9,661","3,912","11,550","2,717","5,219","8,786","21,605","17,165","8,347","5,188","2,375",,9.40%
"Fulton County, Georgia","508,206","1,611","17,721","30,926","14,044","50,661","31,144","19,433","45,037","96,298","99,002","56,755","24,200","21,374",,10.10%
"Glynn County, Georgia","37,878",292,"2,079","3,167",614,"3,922","1,015",149,"1,818","4,549","8,804","6,772","2,314","2,383",,9.00%
"Gwinnett County, Georgia","438,765",393,"41,754","38,076","17,301","58,184","20,572","13,288","32,442","61,770","72,623","42,163","27,265","12,934",,10.80%
"Hall County, Georgia","86,852","1,731","6,573","18,044","4,188","10,186","4,948","1,048","4,436","7,087","15,207","6,130","4,352","2,922",,12.20%
"Henry County, Georgia","97,169",50,"4,749","8,258","3,383","10,442","10,549","2,628","5,944","13,499","20,001","8,175","3,322","6,169",,12.40%
"Houston County, Georgia","67,052",151,"2,388","7,883","1,523","7,574","3,918",645,"2,409","6,070","12,320","5,981","3,869","12,321",,12.10%
"Liberty County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.30%
"Lowndes County, Georgia","44,544",408,"2,380","3,990",815,"6,334","1,457",916,"1,730","4,546","11,452","5,810","1,886","2,820",,11.60%
"Muscogee County, Georgia","77,398",196,"4,646","9,067","1,165","9,125","2,561","1,186","9,033","6,286","15,889","8,543","3,723","5,978",,10.90%
"Newton County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.60%
"Paulding County, Georgia","76,935",358,"6,071","8,391","2,601","9,130","4,906","2,185","4,507","8,246","16,149","6,362","3,761","4,268",,9.10%
"Richmond County, Georgia","79,370",531,"5,847","7,600","1,016","12,245","4,659","1,163","2,704","9,465","18,128","7,924","3,036","5,052",,14.70%
"Rockdale County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,20.00%
"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.80%
"Walker County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.50%
"Walton County, Georgia","40,158",331,"4,048","5,053","2,182","6,423","2,619",845,"2,220","3,712","6,776","2,214","2,384","1,351",,9.70%
"Whitfield County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.50%
"Hawaii County, Hawaii","84,143","3,029","8,316","1,302","1,713","10,640","4,657",880,"5,273","8,014","16,651","11,453","4,813","7,402",,8.20%
"Honolulu County, Hawaii","471,067","3,378","34,912","16,527","12,959","53,877","27,797","8,406","32,399","45,852","96,635","69,130","22,656","46,539",,12.90%
"Kauai County, Hawaii","36,746","1,320","3,868",697,292,"4,123","1,700",187,"2,585","3,985","5,293","8,343","1,957","2,396",,11.80%
"Maui County, Hawaii","83,147","1,893","6,446","1,521","2,528","8,896","4,593","1,799","5,876","9,255","13,884","18,736","3,008","4,712",,11.80%
"Ada County, Idaho","211,320","2,792","13,294","17,062","5,744","24,180","8,084","4,887","14,515","28,270","50,752","19,108","11,447","11,185",,10.00%
"Bannock County, Idaho","34,863","1,031","2,228","2,896",456,"3,877","2,207",608,"2,439","2,751","9,519","4,338","1,013","1,500",,8.80%
"Bonneville County, Idaho","48,214","1,974","2,997","4,299","1,152","4,652","2,075",891,"1,555","7,105","12,527","5,199","1,857","1,931",,11.30%
"Canyon County, Idaho","87,152","5,253","6,306","10,913","2,483","11,953","3,124","1,429","3,908","7,897","18,530","6,524","4,962","3,870",,10.40%
"Kootenai County, Idaho","69,862","1,131","6,062","5,679","2,136","8,283","2,580",981,"4,592","6,694","16,863","8,466","3,402","2,993",,9.50%
"Twin Falls County, Idaho","38,907","2,615","1,327","3,333","1,513","6,532","2,218",677,"1,327","2,660","8,795","4,251","1,971","1,688",,5.90%
"Adams County, Illinois","32,044",770,"1,404","4,505","1,455","3,936","1,443",395,"2,425","2,477","8,675","2,033","1,515","1,011",,5.30%
"Champaign County, Illinois","101,586",726,"3,873","9,239","2,552","10,720","4,009","1,861","4,938","9,125","38,849","9,566","3,074","3,054",,7.80%
