County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Kern County, California","352,979","50,940","28,028","21,985","7,253","35,627","25,031","4,108","10,410","30,594","70,001","27,323","14,321","27,358",,11.50%
"Kings County, California","53,749","9,486","1,753","2,929","1,774","5,440","4,393",383,"1,001","4,203","9,851","4,624","1,504","6,408",,11.70%
"Lake County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,21.40%
"Los Angeles County, California","5,037,815","23,070","313,721","433,018","165,669","484,548","327,026","226,062","298,700","689,827","1,050,067","572,709","284,280","169,118",,14.90%
"Madera County, California","60,238","9,657","5,183","4,449","1,262","6,019","3,845",533,"2,306","4,096","12,442","6,715","2,150","1,581",,13.70%
"Marin County, California","130,860",730,"9,255","7,294","3,598","14,077","3,233","4,052","13,694","28,113","25,292","12,069","6,203","3,250",,14.70%
"Mendocino County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.10%
"Merced County, California","112,718","16,392","9,081","12,299","3,838","11,027","7,182",735,"2,658","6,765","23,075","9,795","4,117","5,754",,8.70%
"Monterey County, California","191,694","31,758","15,406","7,719","4,728","16,907","6,565","2,391","7,800","18,575","40,108","21,308","9,182","9,247",,15.50%
"Napa County, California","69,450","3,720","3,685","8,294","2,189","7,144","3,574","1,258","2,732","7,338","14,333","10,141","2,833","2,209",,17.10%
"Nevada County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.70%
"Orange County, California","1,621,719","12,146","107,117","181,466","55,319","165,647","62,146","30,043","137,726","229,527","333,441","172,773","85,641","48,727",,22.70%
"Placer County, California","190,621",491,"12,108","10,835","4,096","23,175","9,583","3,642","16,023","25,759","42,730","18,396","9,572","14,211",,11.50%
"Riverside County, California","1,074,894","11,155","104,266","96,142","28,943","129,331","72,544","13,500","53,776","106,748","231,824","112,373","57,484","56,808",,14.60%
"Sacramento County, California","741,741","5,290","55,415","38,577","23,133","85,510","43,532","11,335","51,356","88,996","159,893","72,447","34,087","72,170",,12.80%
"San Bernardino County, California","953,654","8,353","71,963","77,715","32,443","112,376","103,227","9,319","39,411","99,607","206,687","89,978","51,434","51,141",,14.40%
"San Diego County, California","1,624,854","8,464","105,247","154,635","33,044","164,833","64,324","36,922","102,986","258,599","343,778","184,482","88,171","79,369",,15.30%
"San Francisco County, California","539,057",645,"17,575","28,122","6,807","47,049","21,834","35,429","42,142","148,147","93,130","58,228","21,307","18,642",,16.80%
"San Joaquin County, California","326,476","16,903","30,657","26,476","6,921","39,093","30,743","4,254","14,443","31,043","66,499","29,933","12,922","16,589",,14.30%
"San Luis Obispo County, California","134,530","3,594","9,182","10,262","3,034","14,748","7,022","1,950","6,608","14,910","29,993","19,031","7,162","7,034",,15.10%
"San Mateo County, California","421,562","2,422","23,958","32,418","7,199","38,170","24,524","19,516","32,094","85,699","84,366","39,548","17,456","14,192",,12.90%
"Santa Barbara County, California","215,213","21,437","14,657","12,481","3,678","17,891","6,729","3,727","9,839","29,222","50,519","26,812","11,333","6,888",,14.20%
"Santa Clara County, California","1,021,426","3,740","56,183","163,866","18,968","85,097","32,873","46,924","41,441","230,737","198,896","79,749","37,716","25,236",,14.20%
"Santa Cruz County, California","140,781","8,549","9,725","10,492","3,127","14,111","5,113","2,095","6,024","19,488","34,250","16,833","6,189","4,785",,16.80%
"Shasta County, California","77,273","1,308","5,741","5,285","1,741","8,797","4,098","1,011","3,596","6,222","21,269","8,143","4,557","5,505",,17.20%
"Solano County, California","215,481","2,449","19,383","17,760","4,113","26,917","13,598","3,596","12,597","21,560","50,790","17,682","9,745","15,291",,14.00%
"Sonoma County, California","258,846","7,461","21,412","24,622","5,776","31,867","9,524","5,950","12,937","33,372","54,032","28,103","14,284","9,506",,12.60%
"Stanislaus County, California","236,924","14,645","22,931","24,747","8,226","28,423","19,164","1,892","6,835","18,379","47,965","22,244","11,378","10,095",,11.60%
"Sutter County, California","40,641","3,904","3,714","2,295","1,096","4,181","2,639",350,"2,480","4,348","9,074","3,085","1,815","1,660",,10.30%
"Tehama County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.00%
"Tulare County, California","189,088","31,305","12,687","16,033","7,334","20,032","8,270",780,"4,780","14,092","43,326","12,600","6,284","11,565",,14.80%
"Ventura County, California","418,904","18,859","26,353","38,074","11,528","42,380","17,218","10,924","28,282","49,679","84,978","43,628","24,385","22,616",,11.90%
"Yolo County, California","102,328","3,646","6,091","4,501","1,524","8,434","6,285","1,978","4,453","11,089","32,476","11,339","4,033","6,479",,11.20%
"Yuba County, California",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.70%
"Adams County, Colorado","271,029","5,771","33,208","19,603","8,705","30,099","18,703","6,161","13,734","33,089","45,371","30,362","14,764","11,459",,24.00%
"Arapahoe County, Colorado","359,042","3,563","26,071","20,372","7,775","35,534","23,685","12,707","33,761","52,798","75,820","33,835","18,074","15,047",,14.70%
"Boulder County, Colorado","181,272","2,023","8,539","18,727","3,343","15,929","5,477","6,835","7,923","35,617","45,027","18,235","7,755","5,842",,25.40%
"Broomfield County, Colorado","41,403",255,"2,334","3,734","1,360","3,383","1,017","2,467","2,557","7,719","9,396","3,995","1,772","1,414",,8.80%
"Denver County, Colorado","428,227","4,170","30,913","27,586","12,406","31,934","21,804","11,614","35,107","82,918","94,926","41,691","18,209","14,949",,14.60%
"Douglas County, Colorado","192,970","2,119","10,666","11,784","5,418","17,346","6,809","11,455","21,477","31,722","39,325","16,380","9,751","8,718",,9.80%
"El Paso County, Colorado","340,893","2,764","26,419","17,120","5,131","34,593","14,709","10,347","21,814","52,380","80,812","34,006","21,773","19,025",,17.60%
"Jefferson County, Colorado","321,118","4,768","22,163","23,725","8,439","33,241","14,402","9,197","23,070","52,935","69,861","28,946","16,273","14,098",,13.10%
"Larimer County, Colorado","191,401","4,536","11,893","18,116","2,840","21,150","5,942","2,117","9,077","29,355","49,744","19,596","8,626","8,409",,12.20%
"Mesa County, Colorado","76,060","4,553","6,962","3,647","1,587","10,566","2,473","1,023","3,474","8,415","19,239","7,952","2,976","3,193",,8.80%
"Pueblo County, Colorado","69,791","1,042","6,309","4,322","1,113","8,909","3,411","1,209","1,540","6,707","19,324","7,798","2,685","5,422",,12.40%
"Weld County, Colorado","166,014","9,714","17,828","19,397","5,717","18,129","9,622","3,470","7,756","17,083","32,216","10,869","8,718","5,495",,12.20%
"Fairfield County, Connecticut","479,796","1,260","33,808","35,670","12,995","46,486","19,351","10,532","57,731","75,452","107,738","42,972","24,479","11,322",,13.20%
"Hartford County, Connecticut","459,995","2,416","23,122","47,261","12,055","47,247","21,846","8,804","44,943","46,707","129,585","39,041","19,448","17,520",,12.00%
"Litchfield County, Connecticut","96,654",797,"7,233","11,364","1,133","10,575","3,612","1,656","6,209","11,220","24,938","8,676","5,540","3,701",,10.40%
"Middlesex County, Connecticut","86,410",277,"6,422","9,024","1,962","7,142","4,214","1,752","4,709","10,162","23,803","10,249","3,726","2,968",,9.00%
"New Haven County, Connecticut","427,382",522,"26,215","44,242","9,749","48,225","20,079","7,340","28,445","40,480","135,030","32,812","19,106","15,137",,12.10%
"New London County, Connecticut","135,915",772,"7,820","17,503","1,692","16,012","4,830",920,"6,169","11,675","34,717","21,207","6,990","5,608",,10.10%
"Tolland County, Connecticut","79,831","1,169","5,300","8,984","1,691","8,155","3,565","1,063","6,661","6,782","24,042","5,946","3,118","3,355",,16.60%
"Windham County, Connecticut","57,932",777,"3,812","6,785","1,505","7,384","2,836",836,"3,703","4,409","15,774","5,404","2,237","2,470",,13.90%
"Kent County, Delaware","80,350",860,"5,282","6,097","1,281","12,632","5,720",719,"3,868","6,828","19,430","6,626","3,485","7,522",,12.50%
"New Castle County, Delaware","284,789","2,360","18,520","19,662","6,607","28,016","17,125","3,677","34,330","35,600","69,755","25,161","10,871","13,105",,29.00%
"Sussex County, Delaware","100,922","2,697","8,564","6,168","1,348","13,164","3,527","1,868","6,328","11,270","25,874","11,006","4,320","4,788",,9.90%
"District of Columbia, District of Columbia","387,826",790,"11,348","4,372","1,364","16,502","10,394","14,108","23,473","95,035","76,143","36,992","34,950","62,355",,17.30%
"Alachua County, Florida","128,361","1,538","5,174","4,259","1,414","12,433","4,472","2,112","6,532","11,947","50,819","16,041","6,264","5,356",,14.20%
"Bay County, Florida","83,287",975,"7,839","4,005","1,651","10,192","5,764",794,"5,543","9,025","15,584","9,841","5,082","6,992",,16.80%
"Brevard County, Florida","259,299","1,423","19,391","31,050","4,572","31,663","11,999","3,072","13,092","36,651","52,515","26,059","12,443","15,369",,17.60%
"Broward County, Florida","1,004,830","2,991","71,274","45,906","33,176","125,694","68,299","21,093","80,093","141,429","209,394","109,763","52,327","43,391",,13.90%
"Charlotte County, Florida","63,569",28,"8,566","2,064","1,474","9,563","3,251",621,"4,448","6,194","14,642","5,581","5,277","1,860",,14.70%
"Citrus County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.90%
"Clay County, Florida","103,073",243,"7,123","2,796","1,901","15,519","7,569","1,596","8,067","10,999","27,624","6,690","6,467","6,479",,20.70%
"Collier County, Florida","161,368","2,063","20,648","6,211","2,916","19,395","4,969","3,786","11,733","22,106","28,933","26,796","6,656","5,156",,15.90%
"Columbia County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.40%
"Duval County, Florida","470,587","1,242","34,484","23,815","12,772","53,695","34,887","6,238","50,361","62,010","93,654","52,790","24,750","19,889",,15.90%
"Escambia County, Florida","141,224",677,"11,847","6,980","3,445","16,783","5,866","1,696","13,848","14,485","35,486","16,284","7,623","6,204",,11.90%
"Flagler County, Florida","49,542",65,"3,918","2,691",958,"6,935","3,667",348,"3,689","6,504","9,192","6,555","2,890","2,130",,24.10%
"Hernando County, Florida","73,405",622,"7,052","3,649","1,497","11,202","2,249",865,"4,625","8,983","16,006","8,178","3,881","4,596",,14.00%
"Highlands County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.30%
"Hillsborough County, Florida","735,836","9,108","64,578","43,954","21,462","78,470","39,873","9,530","76,382","108,317","161,022","73,522","29,743","19,875",,15.50%
"Indian River County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.80%
"Lake County, Florida","154,127","3,129","15,811","6,211","2,264","18,611","6,248","1,614","9,471","16,774","32,755","26,709","7,297","7,233",,10.10%
"Lee County, Florida","321,744","1,781","39,195","12,000","6,040","45,862","16,116","4,536","20,770","41,759","68,779","37,044","17,908","9,954",,12.40%
"Leon County, Florida","149,547",809,"5,816","3,489","1,964","14,993","4,910","1,795","9,383","18,503","42,799","15,009","8,329","21,748",,26.20%
"Manatee County, Florida","169,946",793,"12,951","10,385","3,818","24,320","8,549","2,786","11,182","22,382","38,838","18,823","9,557","5,562",,15.50%
"Marion County, Florida","136,306","1,652","10,960","8,628","3,117","19,759","7,021","1,497","6,646","15,493","31,065","14,260","8,382","7,826",,9.70%
"Martin County, Florida","68,610",746,"6,170","4,434","1,144","8,670","3,668",936,"4,432","8,770","15,111","7,352","4,503","2,674",,17.20%
"Miami-Dade County, Florida","1,366,451","9,308","114,573","55,442","48,165","165,416","121,130","25,503","100,875","185,571","272,463","150,356","77,751","39,898",,12.30%
"Monroe County, Florida","38,237",617,"3,732","1,022",816,"2,755","2,259",161,"2,631","4,342","4,912","10,705","1,939","2,346",,15.10%
"Nassau County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,16.20%
"Okaloosa County, Florida","93,833",690,"6,851","5,513","1,865","11,865","3,794",762,"7,009","14,296","15,242","14,244","4,112","7,590",,10.50%
"Orange County, Florida","733,137","3,546","54,894","35,259","19,265","88,056","42,929","14,608","53,978","98,187","133,830","137,397","29,385","21,803",,18.80%
"Osceola County, Florida","180,755",886,"15,234","6,413","4,060","23,664","15,068","3,390","11,375","19,364","29,141","39,774","6,024","6,362",,19.40%
"Palm Beach County, Florida","709,866","8,395","60,534","29,540","18,091","85,687","35,481","13,132","52,911","107,608","158,686","80,400","39,024","20,377",,13.50%
"Pasco County, Florida","238,869","1,186","23,539","10,255","4,994","36,019","12,143","3,561","20,109","29,313","52,882","24,508","11,571","8,789",,9.80%
"Pinellas County, Florida","457,776",850,"26,558","27,884","11,718","56,359","15,551","9,388","42,801","68,744","106,322","53,849","23,769","13,983",,13.10%
"Polk County, Florida","312,921","3,444","25,512","15,285","7,924","44,008","22,952","3,449","21,624","32,284","58,981","51,626","15,014","10,818",,23.50%
"Putnam County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.90%
"St. Johns County, Florida","121,162","1,189","7,573","6,802","3,305","15,260","5,572","1,882","15,744","15,913","26,875","12,457","4,919","3,671",,16.60%
"St. Lucie County, Florida","149,585",842,"15,816","7,071","3,721","23,883","9,274","1,582","8,449","16,430","32,745","14,793","9,435","5,544",,14.40%
"Santa Rosa County, Florida","78,050",552,"6,647","3,760","1,297","9,888","4,424","2,515","5,854","9,958","16,539","8,130","3,066","5,420",,11.90%
"Sarasota County, Florida","178,123","1,002","15,819","7,280","3,171","23,618","7,912","3,232","12,543","26,135","37,465","20,923","13,137","5,886",,16.20%
"Seminole County, Florida","243,631",437,"15,533","12,770","6,895","27,272","14,003","6,432","21,385","40,909","49,878","28,467","13,161","6,489",,12.90%
"Sumter County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
"Volusia County, Florida","242,595","2,068","21,578","11,754","6,783","33,919","10,077","3,438","18,591","27,227","52,614","29,700","15,796","9,050",,19.20%
"Walton County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.90%
"Barrow County, Georgia","39,569",463,"2,984","4,759","1,253","4,489","2,798",501,"1,685","3,206","9,775","3,380","2,847","1,429",,14.80%
"Bartow County, Georgia","48,713",141,"3,742","10,020","2,414","3,420","3,764",726,"2,122","4,363","8,806","4,992","2,537","1,666",,11.10%
"Bibb County, Georgia","65,512",29,"3,139","5,095","2,604","7,908","3,987",882,"3,731","7,672","15,622","6,643","3,446","4,754",,14.10%
"Bulloch County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.40%
"Carroll County, Georgia","56,266",567,"4,260","10,905","1,936","7,608","3,464",955,"2,030","4,398","10,391","4,238","3,737","1,777",,8.80%
"Catoosa County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.20%
"Chatham County, Georgia","138,435",739,"9,137","11,856","1,375","16,061","12,091","2,326","6,296","14,269","31,067","22,678","4,776","5,764",,14.40%
"Cherokee County, Georgia","132,272",143,"14,171","12,572","4,946","14,393","6,934","3,006","10,866","20,840","24,257","9,769","6,208","4,167",,9.70%
"Clarke County, Georgia","62,662",600,"2,337","2,698","1,690","6,749","1,816","1,004","1,975","6,849","20,660","11,344","2,650","2,290",,13.10%
"Clayton County, Georgia","132,137",195,"7,789","10,674","3,591","15,290","17,493","1,619","5,919","16,965","26,381","12,930","6,828","6,463",,23.80%
"Cobb County, Georgia","405,753",732,"30,629","29,220","13,211","45,588","22,922","10,161","32,569","70,719","79,610","37,571","20,474","12,347",,11.40%
"Columbia County, Georgia","76,929",342,"6,217","8,448","1,760","8,247","5,680","1,199","3,020","8,049","20,895","6,404","1,738","4,930",,11.90%
"Coweta County, Georgia","73,055",324,"3,253","10,697","1,068","7,607","8,761","1,873","4,295","7,542","14,196","5,960","3,825","3,654",,13.50%
"DeKalb County, Georgia","393,493",426,"15,596","22,246","13,038","38,875","28,667","17,153","29,901","67,141","84,225","38,646","18,855","18,724",,12.50%
"Dougherty County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,17.50%
"Douglas County, Georgia","72,393",62,"3,918","5,539","2,480","8,153","5,735","1,473","5,091","7,471","20,110","6,995","3,408","1,958",,14.40%
"Fayette County, Georgia","52,449",389,"3,484","4,467","2,045","2,332","6,934","2,057","3,173","6,130","9,871","6,000","3,065","2,502",,8.20%
"Floyd County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.20%
"Forsyth County, Georgia","127,115",510,"8,327","11,916","5,041","14,213","4,481","3,689","12,508","26,106","22,138","10,288","5,781","2,117",,11.90%
"Fulton County, Georgia","565,395","1,051","17,362","33,392","14,985","47,486","43,966","22,365","56,132","129,721","106,199","52,289","19,719","20,728",,14.30%
"Glynn County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.30%
"Gwinnett County, Georgia","474,393","1,659","44,701","43,390","17,482","51,236","31,977","12,751","32,688","70,871","86,359","42,990","25,913","12,376",,13.50%
"Hall County, Georgia","94,125","1,961","11,087","17,422","4,014","9,726","4,182","1,321","5,550","7,978","15,717","7,998","5,003","2,166",,16.10%
"Henry County, Georgia","117,500",219,"7,185","8,323","2,608","14,363","15,470","1,701","5,781","11,879","24,928","9,947","7,901","7,195",,16.00%
"Houston County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.00%
"Jackson County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.60%
"Lowndes County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,28.00%
"Muscogee County, Georgia","78,408",590,"3,954","8,161","1,855","9,464","3,729","1,189","9,542","7,608","16,565","9,296","3,823","2,632",,15.70%
"Newton County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,17.30%
"Paulding County, Georgia","79,424",197,"10,088","6,688","2,328","10,953","8,010","1,538","4,298","8,455","15,517","5,085","3,551","2,716",,12.60%
"Richmond County, Georgia","83,670",439,"3,757","10,931","1,584","9,312","3,973",816,"2,528","13,368","18,056","13,138","2,355","3,413",,16.80%
"Rockdale County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,27.90%
"Spalding County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.80%
"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.00%
"Walker County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.20%
"Walton County, Georgia","43,384",504,"4,854","5,263","1,435","3,924","2,708","1,165","2,217","4,649","8,748","3,313","1,932","2,672",,12.70%
"Whitfield County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.60%
"Hawaii County, Hawaii","90,710","5,006","6,223","2,463","2,017","10,396","3,878","1,342","4,867","9,532","17,953","17,502","4,076","5,455",,10.40%
"Honolulu County, Hawaii","459,379","3,634","32,389","13,820","11,132","53,076","30,952","6,246","28,871","50,353","106,493","62,155","18,142","42,116",,17.20%
"Kauai County, Hawaii","35,876",724,"2,925","1,043",735,"3,314","2,828",377,"1,974","3,740","6,243","7,662","2,446","1,865",,16.20%
"Maui County, Hawaii","85,790",901,"6,871","1,864","1,692","10,813","4,273",796,"5,013","9,886","14,251","21,309","3,943","4,178",,14.40%
"Ada County, Idaho","244,950","3,130","18,329","23,055","7,564","30,455","10,910","5,315","16,309","28,978","53,863","25,242","9,851","11,949",,10.90%
"Bannock County, Idaho",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.60%
"Bonneville County, Idaho","56,743","1,079","5,161","4,727","1,724","7,672","1,951",756,"2,312","8,142","12,349","6,636","2,297","1,937",,10.10%
"Canyon County, Idaho","107,792","3,770","11,696","13,283","2,630","14,084","5,817","1,283","4,925","8,276","23,203","9,676","4,535","4,614",,11.90%
"Kootenai County, Idaho","81,399","1,137","7,199","6,763","2,887","12,053","3,496","1,004","6,780","5,624","17,449","9,163","4,763","3,081",,10.20%
"Twin Falls County, Idaho",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.90%
"Adams County, Illinois","33,001","1,016","1,663","3,412","1,012","4,905","2,331",686,"1,410","1,981","9,269","2,172","2,308",836,,7.00%
"Champaign County, Illinois","101,692","1,605","3,050","7,703","1,934","7,851","5,673","2,286","3,848","7,634","42,446","10,856","4,426","2,380",,12.30%
"Cook County, Illinois","2,595,753","3,766","124,235","250,766","61,721","228,090","201,464","50,217","211,449","400,411","605,853","241,725","126,203","89,853",,15.60%
"DeKalb County, Illinois","55,817","1,000","3,269","5,529","1,132","6,563","3,405","1,005","2,393","5,399","17,320","5,339","2,011","1,452",,7.80%
