County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Jefferson County, Colorado","271,398","3,429","21,404","21,822","8,518","30,167","11,173","8,999","20,886","41,132","52,008","23,555","13,278","15,027",,7.00%
"Larimer County, Colorado","151,483","2,557","9,431","15,746","3,890","17,112","4,579","2,727","9,581","17,005","39,658","14,091","7,926","7,180",,6.10%
"Mesa County, Colorado","64,449","4,290","3,852","3,530","1,498","8,436","2,924","1,543","3,671","4,334","17,548","6,590","2,605","3,628",,7.70%
"Pueblo County, Colorado","64,170",722,"4,959","5,086","1,639","10,765","2,369",824,"2,614","5,337","16,363","7,178","2,037","4,277",,3.60%
"Weld County, Colorado","118,678","4,546","9,797","13,115","3,415","17,046","6,306","1,377","7,511","11,120","25,836","9,113","4,387","5,109",,8.20%
"Fairfield County, Connecticut","432,039","1,141","27,148","36,725","12,198","45,981","13,443","13,382","51,514","69,894","93,202","31,391","24,283","11,737",,6.00%
"Hartford County, Connecticut","432,297","1,517","19,487","46,720","10,352","47,056","17,932","11,177","50,255","43,906","107,623","37,478","17,886","20,908",,5.50%
"Litchfield County, Connecticut","97,532","1,118","6,671","12,781","2,537","9,852","3,320","2,155","7,190","11,080","25,409","7,300","5,350","2,769",,5.90%
"Middlesex County, Connecticut","83,458",423,"6,688","9,390","2,392","8,853","3,034","2,413","6,756","8,215","22,533","5,663","3,409","3,689",,4.10%
"New Haven County, Connecticut","420,431","1,447","18,646","51,814","10,140","45,565","16,306","10,124","26,025","37,032","134,278","35,392","18,863","14,799",,6.00%
"New London County, Connecticut","133,119",339,"7,269","15,809","2,644","15,000","5,472","2,033","5,148","12,439","31,296","22,490","6,244","6,936",,6.40%
"Tolland County, Connecticut","79,841",464,"5,145","8,550","1,666","8,003","2,434","1,188","7,629","7,101","23,599","5,985","3,436","4,641",,5.10%
"Windham County, Connecticut","57,729",994,"4,163","6,704","1,651","7,230","2,755",622,"2,178","4,127","17,036","5,194","2,546","2,529",,2.80%
"Kent County, Delaware","68,808","1,178","4,514","5,322",827,"10,327","3,305","1,476","4,064","3,544","16,898","6,584","2,804","7,965",,7.70%
"New Castle County, Delaware","261,666",966,"15,127","24,041","6,152","26,941","11,990","4,344","38,004","26,851","63,103","21,622","9,908","12,617",,4.90%
"Sussex County, Delaware","80,646","2,573","8,870","7,668","1,933","12,156","3,344",889,"4,361","5,494","17,104","7,440","4,713","4,101",,7.00%
"District of Columbia, District of Columbia","299,127",174,"8,866","3,113","2,717","15,923","11,159","11,748","15,640","66,452","55,973","26,169","26,834","54,359",,11.10%
"Alachua County, Florida","112,538",983,"3,705","3,926","1,780","12,816","3,401","1,905","5,862","11,910","44,064","11,771","5,558","4,857",,7.30%
"Bay County, Florida","75,029",317,"5,332","3,872",930,"11,004","3,363",880,"4,385","8,307","15,341","9,430","4,719","7,149",,11.20%
"Brevard County, Florida","227,358",771,"15,981","27,933","3,896","29,433","7,933","3,202","12,310","30,740","47,476","22,761","10,757","14,165",,10.70%
"Broward County, Florida","826,452","4,298","49,957","40,905","31,052","112,360","46,568","17,711","67,144","108,344","171,463","86,607","52,591","37,452",,6.50%
"Charlotte County, Florida","53,046",46,"3,485","2,361","1,070","8,924","1,590",519,"3,551","6,715","13,326","3,981","3,456","4,022",,12.40%
"Citrus County, Florida","44,564",865,"3,191","2,202",495,"7,226","3,155",823,"1,380","3,579","10,660","6,332","1,579","3,077",,12.50%
"Clay County, Florida","81,636",276,"4,440","4,570","2,386","10,714","7,127","1,268","8,655","10,452","17,410","5,883","3,719","4,736",,10.70%
"Collier County, Florida","123,674","2,615","11,130","5,028","4,491","21,667","2,750","1,708","8,546","15,524","20,990","18,720","5,723","4,782",,8.90%
"Columbia County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
"Duval County, Florida","389,770",672,"21,722","22,161","10,573","51,785","25,552","7,790","46,676","42,808","85,714","34,224","17,697","22,396",,11.20%
"Escambia County, Florida","114,076",414,"7,084","5,616","2,562","14,435","5,886","1,758","7,757","12,828","30,485","12,098","6,465","6,688",,8.70%
"Flagler County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,17.30%
"Hernando County, Florida","56,063",582,"4,829","2,479",826,"10,511","3,185",789,"3,468","4,194","13,668","5,226","2,761","3,545",,8.40%
"Highlands County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.60%
"Hillsborough County, Florida","557,854","7,815","31,629","32,944","18,108","67,658","24,915","14,863","58,157","74,079","121,250","59,144","25,955","21,337",,7.50%
"Indian River County, Florida","52,019","1,515","4,011","1,962",854,"8,787","2,135",690,"4,179","5,904","10,699","6,087","3,777","1,419",,5.60%
"Lake County, Florida","117,196","1,803","6,459","7,678","2,931","14,260","6,094","2,095","8,497","12,018","27,004","18,010","4,423","5,924",,10.40%
"Lee County, Florida","233,140","2,520","18,232","7,758","4,747","36,523","13,021","4,328","15,500","29,322","45,397","31,630","13,745","10,417",,9.30%
"Leon County, Florida","127,337",591,"5,660","3,693","1,946","12,511","2,889","1,280","8,079","13,957","34,973","14,401","6,442","20,915",,10.20%
"Manatee County, Florida","127,401","1,621","7,251","9,729","3,255","19,905","5,182","1,420","9,369","14,682","28,038","14,671","6,588","5,690",,8.90%
"Marion County, Florida","113,661","4,864","9,414","6,790","3,381","15,439","4,580","1,988","6,690","11,959","25,333","12,238","5,246","5,739",,7.00%
"Martin County, Florida","57,783",614,"3,710","3,949",926,"7,805","1,790",836,"3,512","7,830","13,467","6,095","3,619","3,630",,9.10%
"Miami-Dade County, Florida","1,075,625","7,748","74,255","54,937","45,164","130,845","73,548","26,799","78,688","134,619","217,787","112,057","78,170","41,008",,7.30%
"Monroe County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.50%
"Nassau County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
"Okaloosa County, Florida","81,612",423,"4,438","4,157","1,535","12,219","4,218","1,302","5,759","9,207","13,743","10,717","4,274","9,620",,11.20%
"Orange County, Florida","548,580","2,582","32,646","23,039","14,866","65,901","31,870","12,054","36,277","79,407","103,443","100,412","26,009","20,074",,9.90%
"Osceola County, Florida","117,143",894,"8,139","4,481","1,611","18,176","7,821","1,992","6,081","12,366","20,003","27,061","3,583","4,935",,8.70%
"Palm Beach County, Florida","577,572","8,110","39,760","22,709","14,634","81,326","24,127","13,419","47,843","81,209","123,750","63,721","34,344","22,620",,8.20%
"Pasco County, Florida","184,267","1,034","12,874","9,888","4,902","28,796","9,462","3,403","15,615","18,859","41,329","19,380","9,999","8,726",,7.50%
"Pinellas County, Florida","409,011","1,619","24,276","33,853","11,589","56,772","15,679","8,175","36,833","52,263","89,674","41,297","21,784","15,197",,8.70%
"Polk County, Florida","237,723","4,728","17,511","15,902","9,638","34,134","13,751","2,989","13,822","21,810","51,154","32,942","8,759","10,583",,7.20%
"Putnam County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.20%
"St. Johns County, Florida","88,212",662,"7,068","5,783","2,826","11,547","4,162","1,214","8,777","10,963","16,851","9,820","4,619","3,920",,13.80%
"St. Lucie County, Florida","108,310","1,716","7,015","6,754","3,198","19,292","6,198","1,740","5,829","9,543","24,687","10,655","5,843","5,840",,11.70%
"Santa Rosa County, Florida","63,600",669,"3,829","3,531","1,651","9,654","2,292","1,841","4,252","8,043","12,264","7,051","2,227","6,296",,7.50%
"Sarasota County, Florida","146,867",594,"13,558","6,377","2,914","21,562","3,452","2,212","11,747","17,586","31,911","19,717","9,669","5,568",,6.90%
"Seminole County, Florida","199,357","1,186","10,789","12,118","7,198","26,912","8,676","6,242","18,559","28,423","43,040","19,359","10,510","6,345",,10.20%
"Sumter County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.40%
"Volusia County, Florida","193,104","2,847","14,355","11,296","5,657","31,528","8,377","4,601","12,819","19,524","40,719","20,559","12,015","8,807",,11.00%
"Barrow County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.40%
"Bartow County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.50%
"Bibb County, Georgia","56,710",355,"3,152","3,672","1,181","7,019","2,122",748,"5,861","3,732","15,734","4,688","4,464","3,982",,6.10%
"Bulloch County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.60%
"Carroll County, Georgia","45,665",267,"4,950","6,713","2,082","5,924","2,408",813,"2,144","3,908","10,390","3,106","1,693","1,267",,6.80%
"Chatham County, Georgia","117,204",483,"7,260","9,526","3,212","15,173","6,553","1,837","5,887","11,289","28,590","13,273","6,434","7,687",,7.00%
"Cherokee County, Georgia","103,598",334,"8,075","9,291","3,631","14,382","4,158","2,710","8,799","13,003","20,767","8,401","5,710","4,337",,4.10%
"Clarke County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.40%
"Clayton County, Georgia","107,789",612,"8,510","7,899","2,320","13,593","13,501","2,489","5,925","12,046","17,725","11,604","5,462","6,103",,16.30%
"Cobb County, Georgia","340,191",857,"24,548","23,843","13,697","39,948","16,334","12,480","27,373","55,690","65,729","28,195","16,841","14,656",,10.00%
"Columbia County, Georgia","55,470",279,"3,956","6,152","1,308","5,994","2,846",772,"3,272","5,863","13,651","4,908","2,299","4,170",,6.20%
"Coweta County, Georgia","56,396",140,"3,478","7,746","1,649","9,349","6,344",984,"2,461","6,518","8,456","3,029","3,395","2,847",,3.80%
"DeKalb County, Georgia","317,645",336,"20,388","18,296","9,081","31,876","17,854","12,088","22,229","46,440","70,937","30,979","16,209","20,932",,7.10%
"Dougherty County, Georgia","32,465","1,595",611,"2,442",588,"4,148","2,023",457,880,"2,573","10,257","2,627","1,626","2,638",,13.80%
"Douglas County, Georgia","58,755",0,"5,588","5,357","2,574","7,415","4,907","2,073","3,807","7,624","10,142","3,223","3,452","2,593",,9.80%
"Fayette County, Georgia","49,988",105,"2,255","3,975","2,208","4,978","7,434","1,367","3,389","5,287","9,223","4,863","1,938","2,966",,5.40%
"Floyd County, Georgia","37,769",43,"1,879","5,082",525,"3,416","1,935",546,"1,663","3,789","11,238","3,251","2,462","1,940",,6.30%
"Forsyth County, Georgia","81,464",319,"6,061","8,843","3,292","8,944","3,266","3,848","7,517","13,885","10,733","7,416","5,353","1,987",,11.20%
"Fulton County, Georgia","431,345","1,074","19,605","27,235","14,536","48,859","24,765","21,163","34,997","75,643","80,023","48,003","16,680","18,762",,9.50%
"Glynn County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.70%
"Gwinnett County, Georgia","382,362",683,"31,583","33,340","17,197","52,365","16,512","12,982","29,858","49,934","68,641","31,376","24,746","13,145",,8.50%
"Hall County, Georgia","75,227","1,474","5,017","15,735","3,280","7,468","2,801","1,151","4,045","6,235","16,121","5,752","3,710","2,438",,5.10%
"Henry County, Georgia","91,762",582,"3,574","7,499","3,239","11,987","11,447","2,641","6,372","6,820","18,912","7,121","4,279","7,289",,10.90%
"Houston County, Georgia","60,696",410,"4,384","4,740",661,"7,852","2,153",820,"3,231","4,509","12,225","5,428","2,266","12,017",,12.40%
"Lowndes County, Georgia","44,721",935,"1,687","3,077",924,"8,010","2,098",399,"2,141","3,148","12,141","5,398","1,981","2,782",,8.20%
"Muscogee County, Georgia","71,622",134,"4,040","6,419","1,023","8,057","2,787",875,"7,815","6,195","18,800","7,700","3,690","4,087",,7.30%
"Newton County, Georgia","40,929",251,"2,658","5,674","1,579","4,628","2,722",971,"1,117","4,239","11,183","2,812","1,956","1,139",,7.90%
"Paulding County, Georgia","66,079",499,"4,550","6,035","3,287","6,911","5,533","1,973","4,397","6,976","13,758","5,316","3,892","2,952",,9.10%
"Richmond County, Georgia","78,341",347,"5,023","8,537","1,584","9,219","4,919","1,930","2,425","5,542","20,232","9,464","3,558","5,561",,7.10%
"Rockdale County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.10%
"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,6.80%
"Walker County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,4.50%
"Walton County, Georgia","38,496",218,"3,078","4,699","2,062","6,149","1,875",752,"1,801","2,657","8,432","1,381","2,507","2,885",,15.90%
"Whitfield County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,3.50%
"Hawaii County, Hawaii","79,982","3,757","9,361","1,712","1,604","9,102","3,656","1,111","3,841","7,783","17,027","12,772","3,379","4,877",,7.20%
"Honolulu County, Hawaii","452,669","3,416","31,171","14,494","11,858","52,471","27,064","7,424","32,415","41,365","104,217","60,822","20,236","45,716",,7.60%
"Kauai County, Hawaii","31,613","1,039","2,567",416,882,"3,016","2,436",690,"1,886","3,190","5,550","7,105","1,526","1,310",,6.20%
"Maui County, Hawaii","73,905","2,164","6,182","1,759","1,434","8,056","4,328",813,"5,675","7,600","10,743","18,053","3,521","3,577",,6.30%
"Ada County, Idaho","185,843","2,671","10,568","17,914","5,201","22,354","7,739","4,368","12,829","24,442","40,100","18,693","6,920","12,044",,11.30%
"Bannock County, Idaho",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.60%
"Bonneville County, Idaho","45,647","1,386","2,244","4,065","1,605","5,772","1,516","1,463","2,163","7,429","8,627","5,438","1,803","2,136",,3.70%
"Canyon County, Idaho","73,768","3,794","5,024","9,045","3,468","8,610","4,446","1,543","3,596","7,470","17,126","2,700","3,876","3,070",,5.10%
"Kootenai County, Idaho","59,952",688,"5,460","6,496","1,218","8,012","1,685",488,"5,380","5,966","12,755","6,417","3,135","2,252",,4.70%
"Twin Falls County, Idaho","35,567","4,350","2,693","3,574",692,"5,943","2,100",492,"2,002","1,939","7,839","2,047","1,035",861,,2.10%
"Adams County, Illinois","31,219",896,"1,941","5,031",905,"6,081","1,662",486,"1,963","1,460","6,758","2,116","1,573",347,,9.40%
"Champaign County, Illinois","96,700",652,"3,687","6,851","2,168","9,645","2,660","3,185","5,522","7,910","36,792","10,117","5,348","2,163",,4.60%
"Cook County, Illinois","2,367,822","3,251","110,560","253,304","67,769","233,915","143,619","57,227","193,815","320,861","534,028","229,813","123,323","96,337",,7.50%
"DeKalb County, Illinois","51,862",360,"2,883","7,805","2,122","5,896","1,602","1,041","2,053","4,215","13,526","6,591","1,657","2,111",,4.60%
"DuPage County, Illinois","465,365","1,641","21,306","51,915","19,517","50,509","26,925","12,483","44,148","62,583","99,781","40,191","21,961","12,405",,5.60%
"Kane County, Illinois","239,955","1,616","14,741","38,409","9,128","29,522","14,197","5,175","16,996","29,633","46,599","18,146","8,569","7,224",,6.00%
"Kankakee County, Illinois","48,535",991,"2,739","6,195","1,852","6,321","2,743",708,"2,713","3,421","11,894","5,118","2,293","1,547",,8.40%
